policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp,min_year_trades,eligible
e0.01_x0.05_p1_w240_c3_d0,0.01,0.05,1.0,240,3,0,137,10.338725656713171,-36.78013978724248,0.4306569343065693,1.116399996169304,591.3868613138686,0.0,0.35331189592717205,0.1065283146482694,0.054004311676285166,0.21211750516916816,1416.4054149697045,67.0,False
e0.05_x0.05_p0_w480_c3_d0,0.05,0.05,0.0,480,3,0,182,10.217793129442056,-26.48376497043192,0.46153846153846156,1.1133488818085013,596.5824175824176,0.0,0.3883912493814427,0.13626845801045362,0.06862964011919659,0.26994178352568854,1859.6383495584541,89.0,False
e0.05_x0.05_p2_w480_c1_d0,0.05,0.05,2.0,480,1,0,204,10.20774806077917,-23.776743298263845,0.46078431372549017,1.1139568744497812,570.5784313725491,0.0,0.4161870413048523,0.15698892749121063,0.07871090778067602,0.2861043807551509,2082.3806043989507,97.0,False
e0.05_x0.05_p0_w480_c1_d5,0.05,0.05,0.0,480,1,5,168,10.096142745143078,-28.93421815531594,0.4642857142857143,1.1171022333153793,574.8869047619048,0.0,0.3938370007312063,0.1302141904832883,0.06566737705932524,0.19687692045330785,1696.1519811840371,83.0,False
e0.05_x0.05_p1_w480_c3_d0,0.05,0.05,1.0,480,3,0,183,9.99577692690086,-19.851457125052985,0.4808743169398907,1.106551076266366,624.568306010929,0.0,0.3720481547221646,0.1287173970973512,0.06493384382181566,0.29757637589161456,1829.2271776228572,90.0,False
e0.01_x0.05_p1_w480_c1_d5,0.01,0.05,1.0,480,1,5,131,9.995769464743862,-24.6811569774541,0.4580152671755725,1.1033488740884736,620.8625954198474,0.0,0.3137106770481449,0.08821792316483501,0.044905738301881826,0.3022766206394264,1309.445799881446,65.0,False
e0.05_x0.05_p2_w480_c1_d5,0.05,0.05,2.0,480,1,5,181,9.869248119828775,-11.769067099903774,0.4585635359116022,1.112381346727944,560.7734806629834,0.0,0.3928847853070151,0.1338513135434869,0.0674478788073567,0.2144358667919598,1786.3339096890084,87.0,False
e0.05_x0.05_p2_w120_c3_d5,0.05,0.05,2.0,120,3,5,195,9.802018875331367,-28.411241856163283,0.4564102564102564,1.123879944705875,467.4512820512821,0.0,0.4538838025653801,0.15549506917475409,0.07798700734492892,0.2347753685025875,1911.3936806896165,96.0,False
e0.001_x0.05_p2_w240_c1_d0,0.001,0.05,2.0,240,1,0,93,9.730557061978482,-35.10925445394886,0.40860215053763443,1.1147120466229081,563.752688172043,0.0,0.28744486362956756,0.06864620911284258,0.03509870071557941,0.162266838225109,904.9418067639989,42.0,False
e0.05_x0.05_p1_w480_c1_d0,0.05,0.05,1.0,480,1,0,186,9.673996889690413,-18.49702439375378,0.45161290322580644,1.1016332891178966,625.7956989247311,0.0,0.35782567742224214,0.12168768830198529,0.06148252742370652,0.3267809180606892,1799.3634214824167,93.0,False
e0.001_x0.05_p2_w240_c1_d5,0.001,0.05,2.0,240,1,5,89,9.659482478026336,-35.10925445394886,0.4157303370786517,1.1109447528971303,562.5168539325842,0.0,0.2770295555781877,0.06397563560181152,0.032745637954980644,0.14943871794521535,859.6939405443438,41.0,False
e0.001_x0.05_p0_w480_c3_d5,0.001,0.05,0.0,480,3,5,79,9.324278348290525,-30.991348163098564,0.4430379746835443,1.106715840748956,573.3037974683544,0.0,0.25123394361316775,0.05360650713535131,0.02750380555531362,0.20640219639621937,736.6179895149514,36.0,False
e0.01_x0.05_p0_w240_c3_d0,0.01,0.05,0.0,240,3,0,136,9.279323264387259,-33.512520643523835,0.4264705882352941,1.107287236343538,549.9705882352941,0.007352941176470588,0.3256468056780072,0.09169232971189101,0.04663781853168136,0.20393333445071693,1261.987963956667,67.0,False
e0.001_x0.3_p1_w240_c3_d0,0.001,0.3,1.0,240,3,0,90,9.186355581536974,-17.398379555506605,0.4444444444444444,1.1566713286555228,255.5,0.0,0.3684818410305255,0.07289427294694706,0.03723461378155157,0.168985112936332,826.7720023383276,36.0,False
e0.01_x0.05_p2_w480_c3_d0,0.01,0.05,2.0,480,3,0,145,9.117462870780367,-21.22454618302072,0.46206896551724136,1.1037664746016156,567.0896551724138,0.0,0.32286030910546143,0.09407285267451404,0.047823041469433614,0.26492430491824426,1322.032116263153,70.0,False
e0.01_x0.3_p0_w480_c3_d0,0.01,0.3,0.0,480,3,0,157,9.016437122228252,-24.827851706827886,0.42038216560509556,1.1393058820689335,293.7515923566879,0.006369426751592357,0.4397975657854469,0.12274549063737639,0.06200253045629367,0.13307211179923806,1415.5806281898356,77.0,False
e0.001_x0.15_p2_w240_c3_d0,0.001,0.15,2.0,240,3,0,91,8.974898934176895,-20.179580604401394,0.46153846153846156,1.1380576211348754,324.83516483516485,0.0,0.3319707276601999,0.07032766937157997,0.035944620489852364,0.13340448249277326,816.7158030100975,37.0,False
e0.001_x0.15_p0_w240_c1_d5,0.001,0.15,0.0,240,1,5,101,8.890489650475887,-23.466470340686165,0.44554455445544555,1.1165525361416182,385.46534653465346,0.009900990099009901,0.30686469096838653,0.07026246416895265,0.035911828543613744,0.1385721397306634,897.9394546980645,47.0,False
e0.01_x0.3_p0_w480_c3_d5,0.01,0.3,0.0,480,3,5,152,8.883063565073508,-23.062057464359185,0.4276315789473684,1.1376550778261594,293.3355263157895,0.006578947368421052,0.42865394124283285,0.11644015085182868,0.05889941007287525,0.13681580763702217,1350.2256618911733,75.0,False
e0.01_x0.05_p1_w480_c3_d0,0.01,0.05,1.0,480,3,0,135,8.821612140611707,-22.66501247104591,0.45925925925925926,1.0929811804796294,631.6518518518518,0.0,0.2839222396243707,0.07602045864173279,0.0388038560987265,0.29347236035196067,1190.9176389825805,65.0,False
e0.01_x0.05_p2_w480_c1_d5,0.01,0.05,2.0,480,1,5,143,8.712059403843172,-25.86197695317649,0.44755244755244755,1.096338580816813,567.965034965035,0.0,0.30254100913759757,0.08500249060676057,0.043300394596389236,0.2819699606468691,1245.8244947495737,71.0,False
e0.001_x0.15_p2_w120_c3_d5,0.001,0.15,2.0,120,3,5,87,8.514404555514584,-2.6093670024174287,0.4827586206896552,1.1438666906166337,290.2413793103448,0.0,0.33083605181459697,0.06501798315809926,0.0332712083318667,0.1188193205688437,740.7531963297688,43.0,False
e0.001_x0.3_p2_w240_c3_d5,0.001,0.3,2.0,240,3,5,91,8.373849407435408,-20.416025247653735,0.43956043956043955,1.1530561008541098,224.75824175824175,0.0,0.36732297668371955,0.06825863627902318,0.0349036274365655,0.14883852590138658,762.0202960766221,37.0,False
e0.01_x0.05_p1_w480_c3_d5,0.01,0.05,1.0,480,3,5,125,7.871319387749275,-22.66501247104591,0.456,1.0835895860461189,624.72,0.0,0.24401072642033544,0.05738068425336351,0.02941459521482903,0.27740093528103993,983.9149234686594,61.0,False
e0.01_x0.15_p0_w120_c3_d5,0.01,0.15,0.0,120,3,5,150,7.777241166713203,-10.396411394681394,0.4866666666666667,1.115790473595863,345.5733333333333,0.006666666666666667,0.3616554436047937,0.09531671871609793,0.04844184896150905,0.20698786820897497,1166.5861750069805,71.0,False
