sequence,global_trade,direction,first_booking,last_booking,entry_signal_label,entry_fill_bar_label,exit_signal_label,exit_fill_bar_label,entry_price,exit_price,fragment_start_price,fragment_end_price,inherited_at_peak,continues_after_trough,fragment_bars,full_trade_bars,fragment_log_pnl,fragment_geometric_pct,peak_nav_contribution_pp,cumulative_drawdown_pct,fragment_mfe_log_bp,fragment_giveback_log_bp,overnight_gap_log_bp,full_trade_log_pnl,full_trade_geometric_pct,full_trade_mfe_log_bp,entry_threshold_log_bp,observed_shape_not_causal_verdict
140,260,1,2021-05-13 10:42:00,2021-05-13 13:22:00,2021-05-13 10:32:00,2021-05-13 10:37:00,2021-05-13 13:17:00,2021-05-13 13:22:00,1270.23,1278.8,1270.23,1278.8,False,False,14,14,0.0067241517678976381,0.67468096329009319,0.578289177047564,13.708728167041585,133.17941977024992,65.937902091273543,0,0.0067241517678976346,0.67468096329009286,133.17941977024992,19.119285437444258,顺向开盘浮盈超过后续回吐
141,261,-1,2021-05-13 13:27:00,2021-05-14 09:42:00,2021-05-13 13:17:00,2021-05-13 13:22:00,2021-05-14 09:37:00,2021-05-14 09:42:00,1278.8,1282.47,1278.8,1282.47,False,False,21,21,-0.0028657677727799216,-0.28616653800867869,-0.24693674520803732,13.95566491224962,46.32232416832062,74.98000189611983,-42.835321727271221,-0.0028657677727799208,-0.28616653800867858,46.32232416832062,20.819675790696582,有顺向开盘浮盈但全部回吐并倒亏
142,262,1,2021-05-14 09:47:00,2021-05-17 13:32:00,2021-05-14 09:37:00,2021-05-14 09:42:00,2021-05-17 13:27:00,2021-05-17 13:32:00,1282.47,1332.04,1282.47,1332.04,False,False,73,73,0.037923695721005471,3.8651976264551684,3.3257835975108674,10.629881314738753,420.81581267469551,41.578855464640824,46.190521778385644,0.037923695721005471,3.8651976264551684,420.81581267469551,21.492191189549157,顺向开盘浮盈超过后续回吐
143,263,-1,2021-05-17 13:37:00,2021-05-18 10:22:00,2021-05-17 13:27:00,2021-05-17 13:32:00,2021-05-18 10:17:00,2021-05-18 10:22:00,1332.04,1328.1800000000001,1332.04,1328.1800000000001,False,False,27,27,0.0029020176594278177,0.29062325889560586,0.25973035140197664,10.370150963336776,87.01148942284982,57.991312828571637,49.337366312244342,0.0029020176594278177,0.29062325889560586,87.01148942284982,23.583728283942886,顺向开盘浮盈超过后续回吐
144,264,1,2021-05-18 10:27:00,2021-05-18 10:42:00,2021-05-18 10:17:00,2021-05-18 10:22:00,2021-05-18 10:37:00,2021-05-18 10:42:00,1328.1800000000001,1319.99,1328.1800000000001,1319.99,False,False,4,4,-0.0061854232258994855,-0.61663328765679282,-0.55268748483660035,10.922838448173378,0,61.854232258994855,0,-0.0061854232258994855,-0.61663328765679282,0,18.726769147307376,窗口内未获顺向开盘浮盈
145,265,-1,2021-05-18 10:47:00,2021-05-18 14:57:00,2021-05-18 10:37:00,2021-05-18 10:42:00,2021-05-18 14:52:00,2021-05-18 14:57:00,1319.99,1322.1400000000001,1319.99,1322.1400000000001,False,False,32,32,-0.0016274751617482983,-0.16261515421972661,-0.14485296363205835,11.067691411805436,23.512646978105536,39.78739859558852,0,-0.0016274751617482981,-0.16261515421972658,23.512646978105536,16.622967144386379,有顺向开盘浮盈但全部回吐并倒亏
146,266,1,2021-05-19 09:37:00,2021-05-19 10:57:00,2021-05-18 14:52:00,2021-05-18 14:57:00,2021-05-19 10:52:00,2021-05-19 10:57:00,1322.1400000000001,1328.8499999999999,1322.1400000000001,1328.8499999999999,False,False,17,17,0.0050622705702583317,0.50751055107624832,0.45134084940077202,10.616350562404664,94.549115242133198,43.926409539549887,-3.4817360590306423,0.0050622705702583317,0.50751055107624832,94.549115242133198,15.672112279993145,顺向开盘浮盈超过后续回吐
147,267,-1,2021-05-19 11:02:00,2021-05-19 13:32:00,2021-05-19 10:52:00,2021-05-19 10:57:00,2021-05-19 13:27:00,2021-05-19 13:32:00,1328.8499999999999,1330.5599999999999,1328.8499999999999,1330.5599999999999,False,False,12,12,-0.001285999703442565,-0.12851731601733712,-0.11487346721553715,10.731224029620201,19.66035682934853,32.520353863774176,0,-0.001285999703442565,-0.12851731601733712,19.66035682934853,12.009919310443955,有顺向开盘浮盈但全部回吐并倒亏
148,268,1,2021-05-19 13:37:00,2021-05-19 14:17:00,2021-05-19 13:27:00,2021-05-19 13:32:00,2021-05-19 14:12:00,2021-05-19 14:17:00,1330.5599999999999,1325.8800000000001,1330.5599999999999,1325.8800000000001,False,False,9,9,-0.00352351631650932,-0.35173160173158602,-0.31398649556679814,11.045210525186999,2.0290149202211674,37.26417808531437,0,-0.00352351631650932,-0.35173160173158602,2.0290149202211674,12.224134516715182,有顺向开盘浮盈但全部回吐并倒亏
149,269,-1,2021-05-19 14:22:00,2021-05-20 09:42:00,2021-05-19 14:12:00,2021-05-19 14:17:00,2021-05-20 09:37:00,2021-05-20 09:42:00,1325.8800000000001,1334.6500000000001,1325.8800000000001,1334.6500000000001,False,False,10,10,-0.0065926952634602588,-0.65710111265123961,-0.58452291139556856,11.629733436582567,6.3374226918526233,72.264375326455209,-14.690540805375269,-0.0065926952634602588,-0.65710111265123961,6.3374226918526233,12.505637517702981,有顺向开盘浮盈但全部回吐并倒亏
