minutes,symbol,year,basis,threshold,observations,events,rate,up_events,down_events,mean_abs_tail_simple_bp,max_up_simple_bp,max_down_simple_bp,squared_return_share
5,000852.SH,2022,robust,4.47061087196728,11132,51,0.0045813869924541,25,26,65.7653119140373,185.18196586098796,-130.85833236830544,0.0866810098348704
5,000852.SH,2023,robust,4.47061087196728,11132,36,0.0032339202299676,15,21,37.133728679952576,62.36927858167847,-72.33861732698871,0.0466805283390506
5,000852.SH,2024,robust,4.47061087196728,11132,61,0.0054796981674452,40,21,92.90568760313096,359.8609095266108,-210.499695530794,0.1407418570136792
5,000852.SH,2025,robust,4.47061087196728,11178,58,0.0051887636428699,36,22,55.27705183027132,117.5718659888752,-269.05280348394683,0.1012239031768889
5,000688.SH,2021,raw,0.0062545164773118,11178,96,0.0085882984433709,59,37,80.09550415481957,191.22023809524143,-172.56507750803928,0.1773329948806284
5,000688.SH,2022,raw,0.0062545164773118,11132,137,0.0123068630973769,94,43,79.03710501538522,166.03063411574493,-107.68393359338948,0.1923183861330463
5,000688.SH,2023,raw,0.0062545164773118,11132,31,0.0027847646424721,22,9,73.39565383278106,99.07892329007868,-96.80355704933186,0.0682299057445765
5,000688.SH,2024,raw,0.0062545164773118,11132,278,0.0249730506647502,161,117,96.86375171232211,355.4573557771497,-241.7527573988087,0.440004108565912
5,000688.SH,2025,raw,0.0062545164773118,11178,218,0.0195025943818214,125,93,84.86490149873386,292.3516879151388,-239.25622028256151,0.319078559211509
5,000688.SH,2021,standardized,3.732784112614984,11178,60,0.0053676865271068,36,24,73.058221443597,191.22023809524143,-172.56507750803928,0.0990240493760472
5,000688.SH,2022,standardized,3.732784112614984,11132,73,0.0065576715774344,49,24,79.18134292290978,166.03063411574493,-107.68393359338948,0.1075157325446329
5,000688.SH,2023,standardized,3.732784112614984,11132,47,0.0042220625224577,35,12,55.966531796499,99.07892329007868,-96.80355704933186,0.0639689617758196
5,000688.SH,2024,standardized,3.732784112614984,11132,67,0.0060186848724398,50,17,92.8643621764064,355.4573557771497,-241.7527573988087,0.1147980847253728
5,000688.SH,2025,standardized,3.732784112614984,11178,53,0.0047414564322776,33,20,81.49809621067041,292.3516879151388,-239.25622028256151,0.0959590388204762
5,000688.SH,2021,robust,4.47061087196728,11178,67,0.0059939166219359,45,22,67.30019601156772,191.22023809524143,-172.56507750803928,0.0927866488289245
5,000688.SH,2022,robust,4.47061087196728,11132,85,0.0076356449874236,55,30,74.25290337445378,166.03063411574493,-107.68393359338948,0.1110541534795273
5,000688.SH,2023,robust,4.47061087196728,11132,36,0.0032339202299676,26,10,55.76791376315693,99.07892329007868,-96.80355704933186,0.0484000067176845
5,000688.SH,2024,robust,4.47061087196728,11132,71,0.0063780093424362,54,17,98.40548943908487,355.4573557771497,-241.7527573988087,0.1375044017163863
5,000688.SH,2025,robust,4.47061087196728,11178,71,0.0063517623904097,47,24,81.35706676867309,292.3516879151388,-239.25622028256151,0.1224416750679012
