minutes,symbol,year,session,component,count,median_abs_bp,max_up_bp,max_down_bp,abs_over_50bp,abs_over_100bp
5,000852.SH,2025,1,return_all,243,9.016980704589216,69.23753194197212,-71.48846793798708,3,0
5,000688.SH,2021,0,gap,243,24.308699589050686,233.29163100019863,-220.93634928984747,53,14
5,000688.SH,2021,0,body,243,31.04144032283096,123.2933701448502,-124.29589518563434,76,8
5,000688.SH,2021,0,return_all,243,38.621718209188,207.6776190162627,-188.12481634541487,99,30
5,000688.SH,2021,1,gap,243,0.9594591602501978,10.90047724525256,-9.523590086250032,0,0
5,000688.SH,2021,1,body,243,11.94969469987317,133.5216843046183,-67.45490898776075,5,1
5,000688.SH,2021,1,return_all,243,11.598794856925435,133.84519609877347,-68.96647136542842,5,1
5,000688.SH,2022,0,gap,242,30.40999012556445,301.05761147928735,-241.80812232646232,74,22
5,000688.SH,2022,0,body,242,38.93649022376045,231.5780983778448,-149.83601637692635,89,22
5,000688.SH,2022,0,return_all,242,48.419699876128334,337.8922675164884,-232.89139872833812,119,45
5,000688.SH,2022,1,gap,242,1.3822054860879174,14.348785871964864,-13.018245418769949,0,0
5,000688.SH,2022,1,body,242,13.776453056723591,157.1974439085988,-84.20086985723718,11,1
5,000688.SH,2022,1,return_all,242,13.722735132477991,170.81625534140804,-87.77316531977331,13,1
5,000688.SH,2023,0,gap,242,21.90575248362636,638.7867647058831,-95.13608145307106,43,8
5,000688.SH,2023,0,body,242,23.14750627657847,118.6868102630534,-187.5809935205186,23,3
5,000688.SH,2023,0,return_all,242,26.08428776192909,439.2233455882355,-122.20264215703082,61,10
5,000688.SH,2023,1,gap,242,1.1216805468794444,22.299585999248084,-10.662117496534895,0,0
5,000688.SH,2023,1,body,242,11.182330248371564,41.511810464878174,-59.43623271720932,2,0
5,000688.SH,2023,1,return_all,242,12.013690239712956,48.553168826556,-60.598384692581696,2,0
5,000688.SH,2024,0,gap,242,28.35309813715825,1979.4353313387655,-294.83285643134184,72,22
5,000688.SH,2024,0,body,242,29.24765936448248,364.5613631424905,-477.7396585038851,63,16
5,000688.SH,2024,0,return_all,242,38.61628979156693,1729.770624849543,-320.1884050708973,95,33
5,000688.SH,2024,1,gap,242,1.2450840423600118,15.451998754947294,-4.767742814331122,0,0
5,000688.SH,2024,1,body,242,14.06156481842058,361.8027292315063,-80.19004826451904,18,5
5,000688.SH,2024,1,return_all,242,15.05832540233908,371.11364044809625,-79.44357248822587,20,5
5,000688.SH,2025,0,gap,243,29.944462864721636,356.30150038216345,-565.5799699431285,91,37
5,000688.SH,2025,0,body,243,32.29821331221405,412.15027523977096,-161.1648327220194,62,11
5,000688.SH,2025,0,return_all,243,38.40426893768513,567.4514769285014,-374.5322030901679,97,44
5,000688.SH,2025,1,gap,243,1.0650245923882196,14.428973378544097,-6.241547903879097,0,0
5,000688.SH,2025,1,body,243,13.043295325452233,132.08890295024923,-99.22031512263897,18,2
5,000688.SH,2025,1,return_all,243,12.973079107729944,138.80506940252997,-94.32620751765369,18,3
