year,view,scenario,cost_bps,comparison,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log,alpha
2023,0,delay_1m_observed,3,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.0753430655140202,0.0470819178084923,
2023,0,delay_1m_observed,3,slow_vs_matched_constant,,,0.029786965938797455,0.0028896414547405075,0.03267660739353795,0.8304924242424242
2023,0,delay_1m_observed,5,slow_vs_baseline,2.671502004923888,2.64324085721836,-0.0282611477055279,0.12561966908429484,0.09735852137876694,
2023,0,delay_1m_observed,5,slow_vs_matched_constant,,,0.029786965938797455,0.004819713153302114,0.034606679092099586,0.8304924242424242
2023,0,literal_publication,0,slow_vs_baseline,2.4446568568690314,2.588899395452749,0.14424253858371738,0.0,0.14424253858371738,
2023,0,literal_publication,0,slow_vs_matched_constant,,,0.03786884762121592,0.0,0.03786884762121592,0.8326446280991735
2023,0,literal_publication,1,slow_vs_baseline,2.4446568568690314,2.588899395452749,0.14424253858371738,0.0045009026612786215,0.148743441244996,
2023,0,literal_publication,1,slow_vs_matched_constant,,,0.03786884762121592,1.4956579418703281e-05,0.03788380420063462,0.8326446280991735
2023,0,literal_publication,3,slow_vs_baseline,2.4446568568690314,2.588899395452749,0.14424253858371738,0.013508126856069102,0.1577506654397865,
2023,0,literal_publication,3,slow_vs_matched_constant,,,0.03786884762121592,4.535319997849832e-05,0.03791420082119441,0.8326446280991735
2023,0,literal_publication,5,slow_vs_baseline,2.4446568568690314,2.588899395452749,0.14424253858371738,0.022522582674150724,0.1667651212578681,
2023,0,literal_publication,5,slow_vs_matched_constant,,,0.03786884762121592,7.639484422895782e-05,0.03794524246544488,0.8326446280991735
2023,1,legacy_on_minute,0,slow_vs_baseline,2.606311952130912,2.632943475595792,0.026631523464879958,0.0,0.026631523464879958,
2023,1,legacy_on_minute,0,slow_vs_matched_constant,,,0.04570254616843193,0.0,0.04570254616843193,0.8308281680440771
2023,1,legacy_on_minute,1,slow_vs_baseline,2.606311952130912,2.632943475595792,0.026631523464879958,0.02450470083806563,0.05113622430294559,
2023,1,legacy_on_minute,1,slow_vs_matched_constant,,,0.04570254616843193,0.001019350796303409,0.046721896964735346,0.8308281680440771
2023,1,legacy_on_minute,3,slow_vs_baseline,2.606311952130912,2.632943475595792,0.026631523464879958,0.07354232263582038,0.10017384610070033,
2023,1,legacy_on_minute,3,slow_vs_matched_constant,,,0.04570254616843193,0.0030604596948244724,0.0487630058632564,0.8308281680440771
2023,1,legacy_on_minute,5,slow_vs_baseline,2.606311952130912,2.632943475595792,0.026631523464879958,0.12261760483275247,0.14924912829763243,
2023,1,legacy_on_minute,5,slow_vs_matched_constant,,,0.04570254616843193,0.005104780280177236,0.0508073264486092,0.8308281680440771
2023,1,delay_1m,0,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.0,0.019879813252222434,
2023,1,delay_1m,0,slow_vs_matched_constant,,,0.043240276579036875,0.0,0.043240276579036875,0.8308281680440771
2023,1,delay_1m,1,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.02450470083806563,0.04438451409028807,
2023,1,delay_1m,1,slow_vs_matched_constant,,,0.043240276579036875,0.001019350796303409,0.04425962737534027,0.8308281680440771
2023,1,delay_1m,3,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.07354232263582038,0.09342213588804281,
2023,1,delay_1m,3,slow_vs_matched_constant,,,0.043240276579036875,0.0030604596948244724,0.046300736273861345,0.8308281680440771
2023,1,delay_1m,5,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.12261760483275247,0.1424974180849749,
2023,1,delay_1m,5,slow_vs_matched_constant,,,0.043240276579036875,0.005104780280177236,0.04834505685921413,0.8308281680440771
2023,1,delay_1m_observed,0,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.0,0.019879813252222434,
2023,1,delay_1m_observed,0,slow_vs_matched_constant,,,0.043240276579036875,0.0,0.043240276579036875,0.8308281680440771
2023,1,delay_1m_observed,1,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.02450470083806563,0.04438451409028807,
2023,1,delay_1m_observed,1,slow_vs_matched_constant,,,0.043240276579036875,0.001019350796303409,0.04425962737534027,0.8308281680440771
2023,1,delay_1m_observed,3,slow_vs_baseline,2.5981665531769753,2.6180463664291977,0.019879813252222434,0.07354232263582038,0.09342213588804281,
2023,1,delay_1m_observed,3,slow_vs_matched_constant,,,0.043240276579036875,0.0030604596948244724,0.046300736273861345,0.8308281680440771
