year,view,scenario,cost_bps,rank,phase,mdd,start,end,minutes,days,baseline_net_log,slow_net_log,matched_net_log,slow_vs_matched_log,conflict_share,both_share,wins_removed_log,losses_avoided_log,gross_delta_log,cost_savings_log,net_delta_log
2023,4,delay_1m,3,7,recovery,0.006953621272378957,2023-01-04 09:49:00,2023-01-04 10:32:00,43,1,0.006986516427599732,0.003493258213799866,0.005800925761097959,-0.0023076675472980934,1.0,0.0,0.007653400464161297,0.004160142250361432,-0.003493258213799866,0.0,-0.003493258213799866
2023,4,delay_1m,3,8,decline,0.006423344039271568,2023-01-05 11:23:00,2023-01-05 14:59:00,126,1,-0.006444062482374228,-0.005427153641484947,-0.005350473845451336,-7.667979603361072e-05,0.23809523809523808,0.0,0.0013469105176429075,0.0020636617752378683,0.0007167512575949608,0.0003001575832943205,0.0010169088408892813
2023,4,delay_1m,3,8,recovery,0.006423344039271568,2023-01-05 14:59:00,2023-01-06 09:39:00,10,1,0.006638549107387703,0.006638549107387703,0.005512007440679487,0.0011265416667082162,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2023,4,delay_1m,3,9,decline,0.006409306452899609,2023-01-06 11:20:00,2023-01-06 13:15:00,25,1,-0.006429934244633536,-0.006279855452986376,-0.005338768507405424,-0.0009410869455809509,0.0,0.0,-0.0,0.0,0.0,0.00015007879164716026,0.00015007879164716026
2023,4,delay_1m,3,9,recovery,0.006409306452899609,2023-01-06 13:15:00,2023-01-06 13:59:00,44,1,0.006883323109012629,0.0034416615545063145,0.005715244035968061,-0.0022735824814617473,1.0,0.0,0.005508280912735142,0.0020666193582288273,-0.0034416615545063145,0.0,-0.0034416615545063145
2023,4,delay_1m,3,10,decline,0.005307919657398045,2023-01-06 14:04:00,2023-01-09 09:30:00,56,2,-0.0053220567106953,-0.00266102835534765,-0.004418919814334885,0.0017578914589872355,1.0,0.0,0.0032880812127036307,0.005949109568051281,0.00266102835534765,0.0,0.00266102835534765
2023,4,delay_1m,3,10,recovery,0.005307919657398045,2023-01-09 09:30:00,2023-01-09 09:32:00,2,1,0.00608033333599689,0.003040166667998445,0.005048519194130751,-0.0020083525261323063,1.0,0.0,0.003040166667998445,0.0,-0.003040166667998445,0.0,-0.003040166667998445
2023,4,delay_1m_observed,0,1,decline,0.13510817083168294,2023-04-06 11:19:00,2023-10-19 14:06:00,31037,130,-0.1451508328546387,-0.07804305291810909,-0.12051917637021514,0.04247612345210608,0.34478203434610305,0.0638914843573799,1.496735084973548,1.5638428649100775,0.06710777993652961,0.0,0.06710777993652961
2023,4,delay_1m_observed,0,1,recovery,0.13510817083168294,2023-10-19 14:06:00,2023-12-26 11:16:00,11440,49,0.145486541754015,0.1207361976593635,0.120797916486667,-6.17188273034858e-05,0.34694055944055946,0.06993006993006994,0.4963165261227278,0.4715661820280763,-0.02475034409465149,0.0,-0.02475034409465149
2023,4,delay_1m_observed,0,2,decline,0.11303600935468949,2023-02-21 09:51:00,2023-03-14 11:29:00,3698,16,-0.11995089428883876,-0.11236853993184148,-0.09959559101558128,-0.012772948916260204,0.22769064359113034,0.047593293672255274,0.10256765921004796,0.11015001356704524,0.0075823543569972784,0.0,0.0075823543569972784
2023,4,delay_1m_observed,0,2,recovery,0.11303600935468949,2023-03-14 11:29:00,2023-04-03 09:31:00,3242,15,0.12036330072115486,0.10537853890061477,0.0999380133260498,0.005440525574564974,0.39358420727945714,0.05798889574336829,0.18661171173550883,0.17162694991496874,-0.014984761820540093,0.0,-0.014984761820540093
2023,4,delay_1m_observed,0,3,decline,0.03925040421343298,2023-02-02 10:21:00,2023-02-07 09:58:00,697,4,-0.040041470264238654,-0.03979384801607999,-0.03324655409818603,-0.006547293917893955,0.35724533715925394,0.0,0.02772951626857223,0.027977138516730893,0.0002476222481586632,0.0,0.0002476222481586632
2023,4,delay_1m_observed,0,3,recovery,0.03925040421343298,2023-02-07 09:58:00,2023-02-17 11:29:00,2011,9,0.04007145419750202,0.02285811109810787,0.03327144984883502,-0.010413338750727143,0.15464942814520138,0.015415216310293387,0.04519084778137339,0.027977504681979237,-0.01721334309939415,0.0,-0.01721334309939415
2023,4,delay_1m_observed,0,4,decline,0.03371120157717212,2023-04-03 10:04:00,2023-04-04 13:25:00,351,2,-0.034292526279573465,-0.019853265946216947,-0.02847318848667615,0.008619922540459204,0.22792022792022792,0.0,0.00926713329993012,0.023706393633286638,0.014439260333356518,0.0,0.014439260333356518
2023,4,delay_1m_observed,0,4,recovery,0.03371120157717212,2023-04-04 13:25:00,2023-04-06 10:34:00,159,2,0.03479362624653515,0.0322006087994251,0.02888925330772918,0.003311355491695917,0.34591194968553457,0.22012578616352202,0.01783992512699273,0.015246907679882682,-0.0025930174471100464,0.0,-0.0025930174471100464
2023,4,delay_1m_observed,0,5,decline,0.029331706777169217,2023-01-16 10:58:00,2023-01-19 10:11:00,673,4,-0.029770482624740247,-0.020470614982568858,-0.02471852193690554,0.004247906954336681,0.3491827637444279,0.05200594353640416,0.017463533121705233,0.02676340076387662,0.009299867642171389,0.0,0.009299867642171389
2023,4,delay_1m_observed,0,5,recovery,0.029331706777169217,2023-01-19 10:11:00,2023-01-30 09:30:00,439,3,0.03685406282523118,0.036352975472476956,0.030600040042767708,0.005752935429709247,0.296127562642369,0.0,0.011482431161568218,0.010981343808813993,-0.0005010873527542259,0.0,-0.0005010873527542259
