year,symbol,field,horizon,delta,rows,days,er_mean,er_variance,n_times_variance,cv2,var60_median,step5_mean,zero_share,top1_mean,nonoverlap_rows,nonoverlap_variance
2024,588080.SSE,last,60,15,3148,179,0.05384434867246691,0.0024595390350819974,0.5902893684196794,0.8483468738500544,0.0006323598600063959,0.021454300692683462,0.5579402265988987,0.019522892844856234,343,0.001955511590499387
2024,588080.SSE,last,60,30,3148,179,0.08261981625751225,0.004762082353898878,0.5714498824678653,0.6976353072797736,0.00151273041660803,0.032337914857561274,0.4803790766624311,0.035933936815694116,343,0.004390992337792756
2024,588080.SSE,last,60,60,3148,179,0.11829098519831328,0.008279542757888293,0.49677256547329757,0.5917020249735376,0.0034187038788574815,0.046332372141350386,0.38337039390088945,0.06074884220202434,343,0.008379388013870113
2024,588080.SSE,last,60,300,3148,179,0.30341703431974165,0.0464583472611623,0.5575001671339476,0.5046425168144208,0.023147888715716016,0.10924953600522803,0.2302520118593816,0.21564940767964602,343,0.053143554979689867
2024,588080.SSE,mid,15,3,7017,238,0.1752502819664616,0.03547206100421021,10.641618301263064,1.154965394364625,0.012503937535742521,0.12462971476730267,0.9168547812455465,0.09671784652746816,2400,0.03613535724571511
2024,588080.SSE,mid,15,15,7017,238,0.23864035720037233,0.04812496545372061,2.8874979272232366,0.8450504744775581,0.026821625027147803,0.16312906820433065,0.7647807705097145,0.13629710129793005,2400,0.04848384125509681
2024,588080.SSE,mid,15,30,7017,238,0.28076887017368357,0.059462265318935364,1.7838679595680609,0.7542990168051156,0.03724818938484345,0.18890511998360174,0.6516602536696595,0.17374859216984795,2400,0.061329449977047854
2024,588080.SSE,mid,15,60,7017,238,0.3317364739109817,0.07342904819383322,1.1014357229074982,0.6672390425610365,0.05317063404429812,0.2186599116404926,0.5080898769654648,0.23577685245454172,2400,0.07641741981829998
2024,588080.SSE,mid,15,300,7017,238,0.6306431037841631,0.14920637614045873,0.44761912842137613,0.37516306955040907,0.1432522136368759,0.30957847912860265,0.23400313524298133,0.6077845758928699,2400,0.14882182926498227
2024,588080.SSE,mid,30,3,5534,230,0.11002274677275449,0.01119149304195153,6.714895825170918,0.92453437400454,0.004250177945080585,0.057411457811119046,0.9162200337308758,0.040895542091070686,990,0.010871982557859162
2024,588080.SSE,mid,30,15,5534,230,0.15498928119491623,0.017397225079282968,2.087667009513956,0.7242302389066302,0.008819174927452801,0.0787892951248644,0.7612561739549453,0.06309576111781,990,0.019666860412477113
2024,588080.SSE,mid,30,30,5534,230,0.18485817952072858,0.02311182901305397,1.3867097407832383,0.6763273842906897,0.012694192668752685,0.09303547141226988,0.6466570292735816,0.08531959206698342,990,0.02712052931727801
2024,588080.SSE,mid,30,60,5534,230,0.22074003466384026,0.030728302340121267,0.921849070203638,0.6306325084748522,0.01818060497724109,0.11009900985322665,0.5021563667028069,0.12417073393186934,990,0.03663595834335823
2024,588080.SSE,mid,30,300,5534,230,0.4474787339739137,0.0983640656602521,0.5901843939615126,0.49123767777869465,0.07125667983979816,0.1902551475926441,0.24891579327791832,0.3713504865045928,990,0.10423048473223731
2024,588080.SSE,mid,60,3,3129,179,0.07772168186571284,0.004254468421460146,5.105362105752175,0.7043052480620866,0.0013546456075523958,0.02867564625838933,0.913237456056248,0.018095646540116347,342,0.004080074444043956
2024,588080.SSE,mid,60,15,3129,179,0.11216272859810175,0.0075931581917399035,1.8223579660175768,0.6035667627982791,0.002851332967617194,0.0409502227874215,0.7520041014168531,0.031410306806746335,342,0.009938174222848347
2024,588080.SSE,mid,60,30,3129,179,0.1340490548599021,0.01026234646455041,1.2314815757460493,0.5711092051379205,0.004323846996783684,0.048687623997218675,0.6348141046127623,0.0454929716237019,342,0.013008995469807643
2024,588080.SSE,mid,60,60,3129,179,0.16005315646031673,0.014033539544370461,0.8420123726622276,0.5478210751205176,0.006127092236339652,0.05818841496407643,0.4881325237029935,0.06955971646073641,342,0.017597438372808236
2024,588080.SSE,mid,60,300,3129,179,0.3300681078007896,0.05253551588243599,0.6304261905892319,0.48222072791562387,0.02508587144082755,0.10875467721520661,0.2454724619154149,0.21947006692432056,342,0.0575851460772602
