policy_id,entry_alpha,exit_alpha,weight_power,volatility_window,entry_confirm,cooldown,trades,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_bars,short_hold_fraction,sharpe,return,cagr,mdd,sum_trade_net_bp
e0.001_x0.3_p0_w120_c3_d5,0.001,0.3,0.0,120,3,5,17,3.327676278258,-23.673973669908754,0.4117647058823529,1.1093925845536057,257.11764705882354,0.0,0.15561708722288703,0.005158750977339643,0.005372494134272765,0.04353097192707478,56.570496730386
e0.001_x0.3_p0_w240_c1_d0,0.001,0.3,0.0,240,1,0,22,35.6773041174792,8.949788738630282,0.5454545454545454,1.8556805123884577,434.27272727272725,0.0,0.8800234538002512,0.07865295728064714,0.08203295482040329,0.07393067310200274,784.9006905845424
e0.001_x0.3_p0_w240_c1_d5,0.001,0.3,0.0,240,1,5,22,32.398925354891645,8.949788738630282,0.5454545454545454,1.777052239071136,423.09090909090907,0.0,0.8115951507384918,0.07099557394353662,0.07403534037017012,0.07393067310200274,712.7763578076163
e0.001_x0.3_p0_w240_c3_d0,0.001,0.3,0.0,240,3,0,20,35.0614546698756,7.279750839044308,0.5,1.7656554374373585,392.95,0.0,0.8809936954182274,0.06966817213908394,0.07264919956523941,0.06342193906398252,701.229093397512
e0.001_x0.3_p0_w240_c3_d5,0.001,0.3,0.0,240,3,5,20,35.0614546698756,7.279750839044308,0.5,1.7656554374373585,392.95,0.0,0.8809936954182274,0.06966817213908394,0.07264919956523941,0.06342193906398252,701.229093397512
e0.001_x0.3_p0_w480_c1_d0,0.001,0.3,0.0,480,1,0,33,-2.0095461289946406,-35.67813623263305,0.45454545454545453,0.9663748388603812,410.030303030303,0.0,-0.04928169543436181,-0.010201974910014844,-0.010621297504569638,0.11716420799189642,-66.31502225682314
e0.001_x0.3_p0_w480_c1_d5,0.001,0.3,0.0,480,1,5,32,-6.373697718268268,-45.09468129785699,0.4375,0.8965825332295945,410.125,0.0,-0.18905288190430616,-0.02361391161834714,-0.024577604414545484,0.12912678769616148,-203.95832698458457
e0.001_x0.3_p0_w480_c3_d0,0.001,0.3,0.0,480,3,0,25,15.725736565997554,9.814842084290287,0.56,1.298394556999455,448.92,0.0,0.462491888579392,0.036930796135313804,0.0384858657704894,0.0863176665879043,393.14341414993885
e0.001_x0.3_p0_w480_c3_d5,0.001,0.3,0.0,480,3,5,25,10.069720376559127,9.814842084290287,0.56,1.1910721153353583,438.52,0.0,0.3056829207136538,0.022518326821016732,0.023459668223592134,0.0863176665879043,251.7430094139782
e0.001_x0.3_p1_w120_c1_d0,0.001,0.3,1.0,120,1,0,26,-19.25809757378716,-24.641969291145926,0.38461538461538464,0.5940277985797484,269.88461538461536,0.0,-0.8403001534962529,-0.050245463018351866,-0.052266510854464876,0.10301055711598595,-500.7105369184662
e0.001_x0.3_p1_w120_c1_d5,0.001,0.3,1.0,120,1,5,25,-21.339400319216793,-31.785815744993506,0.36,0.5674545128460545,270.6,0.0,-0.9016352215464025,-0.05334806466439168,-0.05549022629567968,0.1030105571159855,-533.4850079804198
e0.001_x0.3_p1_w120_c3_d0,0.001,0.3,1.0,120,3,0,18,2.91824167181037,-12.684454246547073,0.4444444444444444,1.0884388120513253,270.44444444444446,0.0,0.14131673218591798,0.004693077538831858,0.0048874795194133736,0.05249837560375814,52.52835009258666
e0.001_x0.3_p1_w120_c3_d5,0.001,0.3,1.0,120,3,5,18,2.91824167181037,-12.684454246547073,0.4444444444444444,1.0884388120513253,270.44444444444446,0.0,0.14131673218591798,0.004693077538831858,0.0048874795194133736,0.05249837560375814,52.52835009258666
e0.001_x0.3_p1_w240_c1_d0,0.001,0.3,1.0,240,1,0,26,2.2723365149968084,-34.53630967120702,0.46153846153846156,1.040385343475585,381.9230769230769,0.0,0.08171659519729513,0.0031309112869841726,0.003260498478069529,0.07792678170706013,59.08074938991702
e0.001_x0.3_p1_w240_c1_d5,0.001,0.3,1.0,240,1,5,26,-0.8018955121924477,-34.53630967120702,0.46153846153846156,0.9857482263398526,372.5,0.0,-0.005070737416208938,-0.004752967281915765,-0.00494888411151706,0.0851736058282806,-20.84928331700364
e0.001_x0.3_p1_w240_c3_d0,0.001,0.3,1.0,240,3,0,19,49.29759654187639,16.01045155438907,0.5263157894736842,2.5256167868736776,429.36842105263156,0.0,1.198430036885592,0.09574860257440587,0.09989663352870459,0.04646713257593693,936.6543342956513
e0.001_x0.3_p1_w240_c3_d5,0.001,0.3,1.0,240,3,5,19,49.29759654187639,16.01045155438907,0.5263157894736842,2.5256167868736776,429.36842105263156,0.0,1.198430036885592,0.09574860257440587,0.09989663352870459,0.04646713257593693,936.6543342956513
e0.001_x0.3_p1_w480_c1_d0,0.001,0.3,1.0,480,1,0,30,11.7702146872292,-8.934628417765488,0.5,1.2385224371122912,388.1333333333333,0.0,0.3977275909388515,0.032807112195444965,0.034185695699213925,0.0868575603334375,353.106440616876
e0.001_x0.3_p1_w480_c1_d5,0.001,0.3,1.0,480,1,5,29,8.949047500344015,11.174094840828985,0.5172413793103449,1.179372095369788,384.51724137931035,0.0,0.30199225729036566,0.02331960119636345,0.024294834772346174,0.0868575603334375,259.5223775099764
e0.001_x0.3_p1_w480_c3_d0,0.001,0.3,1.0,480,3,0,25,21.976683213751972,6.604129285476823,0.56,1.4541340072021534,407.92,0.0,0.6590999320398997,0.053359012438272124,0.05562416920329882,0.08447571947528221,549.4170803437993
