year,stage,first,last,days,n_trades,eligible,win_rate,mean_trade_log,marked_log_pnl,eff_1d,fast_share_1d,slow_work_velocity_5d,threshold_work_amplitude_5d
2022,10,2022-03-22,2022-03-28,5,13,True,0.46153846153846156,0.00051842002454452669,0.0065347156387893894,0.22504140923680591,0.90997923078787013,0.3123137031705096,1.1009908069007248
2022,11,2022-03-29,2022-04-06,5,12,True,0.33333333333333331,-0.0020964685977457429,0.0028709298725758427,0.27437533549101106,0.88268851743368515,0.40220242956026125,1.046151949332311
2022,12,2022-04-07,2022-04-13,5,10,True,0.5,0.0078049473397676181,0.057574573166707686,0.24826186002850861,0.87942700816931596,0.60400356662359689,1.1077254677161787
2022,13,2022-04-14,2022-04-20,5,12,True,0.58333333333333337,0.0020177456310162762,0.02339408846700565,0.19275898675987305,0.9077205069281099,0.32734064490821335,0.97602366248090422
2022,14,2022-04-21,2022-04-27,5,13,True,0.38461538461538464,0.0024597778156750325,0.06964602263671188,0.26182612528652849,0.86958135770508327,0.57582600225435598,0.96556225296325005
2022,15,2022-04-28,2022-05-09,5,12,True,0.25,0.0045916265311449359,0.008808500974273447,0.1611743183087159,0.88016487940533905,0.42455484510901459,0.91376117907113608
2022,16,2022-05-10,2022-05-16,5,11,True,0.54545454545454541,0.0023987280058597495,0.039168320193365941,0.1800697757145388,0.87218074773972931,0.45506304048557977,0.84308341364033212
2022,17,2022-05-17,2022-05-23,5,15,True,0.40000000000000002,0.00064640730902515236,0.0065206369167772182,0.12361763099739118,0.91293845635337934,0.25961944022002614,1.2483193013670859
2022,18,2022-05-24,2022-05-30,5,16,True,0.3125,0.00016559273529337545,-0.0057516452810001829,0.19455067618057367,0.86841590419672632,0.35963151223387713,1.0526321376994718
2022,19,2022-05-31,2022-06-07,5,16,True,0.3125,0.0024249052073592537,0.036465468610859621,0.25984737072474773,0.86624071042957651,0.58858964718336793,1.0134499766562826
2022,20,2022-06-08,2022-06-14,5,14,True,0.42857142857142855,-0.00064669175079740278,0.0096116411040036848,0.18589171071348015,0.83669111896302195,0.40070526442704024,0.85686146884632086
