quarter,policy,cost_bps,total_log_return,mdd
2023Q2,constant_050,3,-0.0584097768464649,0.0783921864768368
2023Q3,constant_050,3,-0.0046360010915896,0.0593656423414672
2023Q4,constant_050,3,-0.0226096302823736,0.0331418348457567
2023Q1,slow_conflict_half,3,0.003775647374297,0.1366640455128799
2023Q2,slow_conflict_half,3,-0.0803123799113374,0.1244492716624874
2023Q3,slow_conflict_half,3,0.0257361147218087,0.0921756733631096
2023Q4,slow_conflict_half,3,-0.0402970001183135,0.0543733549152773
2023Q1,chop_half,3,0.0212563539410557,0.1277575342536206
2023Q2,chop_half,3,-0.1113051174494952,0.1373918826174749
2023Q3,chop_half,3,-0.0332182702583838,0.122167771215563
