a,b,c,year,start,peak,end,bars,sigma,net_log,capture,peak_fraction,time_mass_skew,motion_concentration,half_height_width,negative_area_share,amplitude,net_trend_normalized
2390,2404,2415,2021,2021-03-19 14:15:00,2021-03-22 09:55:00,2021-03-22 10:50:00,25,0.0020005291111548445,0.0038659400616379465,0.09049542981670489,0.56,-0.4048828382096558,1.6793168957386448,0.34615384615384615,0.0,0.019075481995276533,0.43212308795244053
2415,2426,2429,2021,2021-03-22 10:50:00,2021-03-22 13:15:00,2021-03-22 13:30:00,14,0.001994958916932945,-0.00021388292727076406,-0.015499858084105962,0.7857142857142857,-0.09438128559764113,1.4029144858053688,0.6666666666666666,0.0,0.008175564981596217,0.82093706336562
2429,2433,2440,2021,2021-03-22 13:30:00,2021-03-22 13:50:00,2021-03-22 14:25:00,11,0.0018655808579203497,-0.0007646829554525151,-0.12425657814463843,0.36363636363636365,0.325465779447881,1.5491387319906675,0.4166666666666667,0.06619912111045856,0.002284869372746634,-0.23962738134080705
2440,2453,2473,2021,2021-03-22 14:25:00,2021-03-23 10:00:00,2021-03-23 13:10:00,33,0.001762177853725867,0.01255171852498039,0.28736249409965386,0.3939393939393939,0.1706643196556426,2.1622468974533717,0.4411764705882353,0.0035032675223013897,0.01428257752206541,-0.17333132258196865
2473,2476,2490,2021,2021-03-23 13:10:00,2021-03-23 13:25:00,2021-03-23 14:35:00,17,0.0018462548577173829,0.0011960950543466538,0.06520301094939822,0.17647058823529413,0.4693221164505717,1.5768350922203858,0.5555555555555556,0.031996107177372,0.00866554449594048,-0.41255840760513196
2490,2497,2508,2021,2021-03-23 14:35:00,2021-03-24 09:40:00,2021-03-24 10:35:00,18,0.001872367401415168,-0.0008222128783641563,-0.021448144619345622,0.3888888888888889,0.22760021955343576,2.106517009095244,0.15789473684210525,0.0,0.01196272622243022,-0.3515994506225794
2508,2510,2525,2021,2021-03-24 10:35:00,2021-03-24 10:45:00,2021-03-24 13:30:00,17,0.0018482113285493203,0.0062084167575408656,0.37801183358013457,0.11764705882352941,0.9142076806408737,1.3279404032200617,0.16666666666666666,0.04799625739748525,0.008133866152601144,-0.5765686701739359
2525,2526,2532,2021,2021-03-24 13:30:00,2021-03-24 13:35:00,2021-03-24 14:05:00,7,0.0017953663914725563,0.0008585200460267853,0.1252668212512228,0.14285714285714285,0.6072923593227636,1.5946823881750207,0.125,0.0,0.004863604151430501,-0.47287504189726143
2532,2537,2547,2021,2021-03-24 14:05:00,2021-03-24 14:30:00,2021-03-25 09:50:00,15,0.0017147544664968997,-0.010595834032246237,-0.3797159821615459,0.3333333333333333,0.43890886050177474,2.1283308268469967,0.5,0.028509325663012113,0.00653768447424774,-0.39783021090556747
2547,2560,2566,2021,2021-03-25 09:50:00,2021-03-25 10:55:00,2021-03-25 11:25:00,19,0.0016404505804555093,0.0021593216599747967,0.07426751617905186,0.6842105263157895,-0.15478376787969095,1.6601430570340736,0.65,0.02338633215981162,0.011703979677364806,0.46132419348646647
