year,view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2022,2,legacy_on_minute,3,constant_050,0.5,0.007492791254193579,0.007464859730416995,0.1769539239004702,0.170214595095046,140,0.5,660.0,0.1980297059413368,0.0537318910132579
2022,2,legacy_on_minute,3,matched_constant,0.8392648071625345,0.012574546755083144,0.012496143713038449,0.27884484676751564,0.2689055514129199,140,0.8392648071625342,1107.8295454545455,0.33243257034986784,0.05358655632135375
2022,2,legacy_on_minute,5,baseline,1.0,-0.22068588728615465,-0.24934108882162478,0.41690520752887356,0.40673256248317635,140,1.0,1320.0,0.660330220165132,-0.8756922755447527
2022,2,legacy_on_minute,5,slow_conflict_half,1.0,-0.14041891941219856,-0.15131012400950702,0.36634854052543125,0.36010876873366365,140,0.8392648071625345,1099.0,0.54972312459059,-0.6378647767072475
2022,2,legacy_on_minute,5,constant_075,0.75,-0.17050970509776214,-0.18694386935710755,0.33270206576514416,0.3239898592935969,140,0.75,990.0,0.4951857178647384,-0.8754088552043591
2022,2,legacy_on_minute,5,constant_050,0.5,-0.1171394000907468,-0.12458796183856291,0.23635744442270876,0.22972520286698012,140,0.5,660.0,0.33008252751031664,-0.8751255250463362
2022,2,legacy_on_minute,5,matched_constant,0.8392648071625345,-0.1887821398087531,-0.20921862938654495,0.3640774726221693,0.35477949256087826,140,0.8392648071625342,1107.8295454545455,0.5541473434494513,-0.8755100426984526
2022,2,delay_1m,0,baseline,1.0,0.559235793105261,0.44419582501831556,0.17277773494609538,0.14104844468744882,50,1.0,1320.0,0.0,1.6945006424591178
2022,2,delay_1m,0,slow_conflict_half,1.0,0.5572838379657791,0.44294317422461527,0.1277808613950965,0.11107089885623932,84,0.8392648071625345,1099.0,0.0,2.018393265307647
2022,2,delay_1m,0,constant_075,0.75,0.3953522170764633,0.33314686876373667,0.13260550535820553,0.10777065515777333,50,0.75,990.0,0.0,1.6945006424591174
