year,view,scenario,cost_bps,cell,minutes,base_gross_log,base_net_log,slow_gross_log,slow_net_log
2022,1,delay_1m_observed,5,both,2242,-0.05574797945945953,-0.08776399013413261,-0.027873989729729765,-0.05238305674268115
2022,1,literal_publication,0,neither,36481,-0.044276866788474756,-0.044276866788474756,-0.044276866788474756,-0.044276866788474756
2022,1,literal_publication,0,chop_only,3360,0.04094910250472328,0.04094910250472328,0.04094910250472328,0.04094910250472328
2022,1,literal_publication,0,slow_only,15599,-0.0875130420975685,-0.0875130420975685,-0.04375652104878425,-0.04375652104878425
2022,1,literal_publication,0,both,2640,-0.08138029290838045,-0.08138029290838045,-0.040690146454190224,-0.040690146454190224
2022,1,literal_publication,1,neither,36481,-0.044276866788474756,-0.05987842699650597,-0.044276866788474756,-0.057477984417992074
2022,1,literal_publication,1,chop_only,3360,0.04094910250472328,0.039748982488720865,0.04094910250472328,0.039798998741763084
2022,1,literal_publication,1,slow_only,15599,-0.0875130420975685,-0.09491378219624996,-0.04375652104878425,-0.049806939839330405
2022,1,literal_publication,1,both,2640,-0.08138029290838045,-0.08278043292704992,-0.040690146454190224,-0.041840227712149444
2022,1,literal_publication,3,neither,36481,-0.044276866788474756,-0.09109091240700302,-0.044276866788474756,-0.08388692778637327
2022,1,literal_publication,3,chop_only,3360,0.04094910250472328,0.0373480220725288,0.04094910250472328,0.037498168404697996
2022,1,literal_publication,3,slow_only,15599,-0.0875130420975685,-0.1097197047627678,-0.04375652104878425,-0.06191029089377372
2022,1,literal_publication,3,both,2640,-0.08138029290838045,-0.08558155341260734,-0.040690146454190224,-0.04414087791913726
2022,1,literal_publication,5,neither,36481,-0.044276866788474756,-0.12231589280799043,-0.044276866788474756,-0.11030482048676965
2022,1,literal_publication,5,chop_only,3360,0.04094910250472328,0.03494610050322206,0.04094910250472328,0.03519650713377153
2022,1,literal_publication,5,slow_only,15599,-0.0875130420975685,-0.12453155444015926,-0.04375652104878425,-0.07401699486930576
2022,1,literal_publication,5,both,2640,-0.08138029290838045,-0.0883837952434652,-0.040690146454190224,-0.04644217869953788
2022,2,legacy_on_minute,0,neither,34509,0.37243037511569277,0.37243037511569277,0.37243037511569277,0.37243037511569277
2022,2,legacy_on_minute,0,chop_only,4900,0.01340649470296551,0.01340649470296551,0.01340649470296551,0.01340649470296551
2022,2,legacy_on_minute,0,slow_only,16253,0.11696580167954007,0.11696580167954007,0.058482900839770036,0.058482900839770036
2022,2,legacy_on_minute,0,both,2418,-0.0918135401546909,-0.0918135401546909,-0.04590677007734545,-0.04590677007734545
2022,2,legacy_on_minute,1,neither,34509,0.37243037511569277,0.29722285411287575,0.37243037511569277,0.3083248719701892
2022,2,legacy_on_minute,1,chop_only,4900,0.01340649470296551,0.003205474566945102,0.01340649470296551,0.0047057521162038665
2022,2,legacy_on_minute,1,slow_only,16253,0.11696580167954007,0.07736184115146086,0.058482900839770036,0.026830624365369947
2022,2,legacy_on_minute,1,both,2418,-0.0918135401546909,-0.09881424024803823,-0.04590677007734545,-0.05135716886689154
2022,2,legacy_on_minute,3,neither,34509,0.37243037511569277,0.14676266803150465,0.37243037511569277,0.18008083518239457
