trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
384,5661,5673,2021-07-08 09:51:00,2021-07-08 10:51:00,1,13,0.0049881650381508142,0.0067885361890001068,-0.0027044935522321941,0.0018003711508492925,False,False,False,2021-07-08,2021,1,2021-07-08,123,24
385,5674,5675,2021-07-08 10:56:00,2021-07-08 11:01:00,-1,2,-0.00090993518316373001,0,-0.004504175836867799,0.00090993518316373001,True,False,False,2021-07-08,2021,-1,2021-07-08,123,24
386,5676,5688,2021-07-08 11:06:00,2021-07-08 13:41:00,1,13,-0.0045266886111334798,0.0052316127897407408,-0.0045266886111334798,0.0097583014008742197,False,True,False,2021-07-08,2021,-1,2021-07-08,123,24
387,5689,5696,2021-07-08 13:46:00,2021-07-08 14:21:00,-1,8,-0.004383397589939453,0.0024310027322621275,-0.0050934214117937596,0.0068144003222015805,False,True,False,2021-07-08,2021,-1,2021-07-08,123,24
388,5697,5705,2021-07-08 14:26:00,2021-07-09 09:41:00,1,9,-0.011643778306220022,0.0067373355904601796,-0.011643778306220022,0.0183811138966802,False,True,False,2021-07-09,2021,-1,2021-07-09,124,24
389,5706,5716,2021-07-09 09:46:00,2021-07-09 10:36:00,-1,11,0.0083871602330118818,0.018320773494954347,-0.00028991718655672932,0.0099336132619424651,False,False,False,2021-07-09,2021,1,2021-07-09,124,24
390,5717,5749,2021-07-09 10:41:00,2021-07-09 14:56:00,1,33,0.0066206316952898666,0.013222811290177286,-0.0015649355908583557,0.0066021795948874194,False,False,False,2021-07-09,2021,1,2021-07-09,124,24
391,5750,5757,2021-07-12 09:36:00,2021-07-12 10:11:00,-1,8,-0.0054158691006511777,0.0034347231434249947,-0.0062571021215711451,0.0088505922440761733,False,True,False,2021-07-12,2021,-1,2021-07-12,125,25
392,5758,5781,2021-07-12 10:16:00,2021-07-12 13:46:00,1,24,0.006260859528859325,0.011104840808332548,0,0.004843981279473223,False,False,False,2021-07-12,2021,1,2021-07-12,125,25
393,5782,5798,2021-07-12 13:51:00,2021-07-13 09:46:00,-1,17,-0.0091576186694339503,0.0022056098890240712,-0.01088158124339029,0.011363228558458022,False,True,False,2021-07-13,2021,-1,2021-07-13,126,25
394,5799,5801,2021-07-13 09:51:00,2021-07-13 10:01:00,1,3,-0.010031782805699106,0,-0.010031782805699106,0.010031782805699106,True,False,False,2021-07-13,2021,-1,2021-07-13,126,25
395,5802,5831,2021-07-13 10:06:00,2021-07-13 14:06:00,-1,30,0.0091999393789505279,0.015492669139474212,0,0.0062927297605236843,False,False,False,2021-07-13,2021,1,2021-07-13,126,25
396,5832,5844,2021-07-13 14:11:00,2021-07-14 09:46:00,1,13,-0.00093981116083698916,0.0023047869144665663,-0.005411261773980101,0.0032445980753035555,False,True,False,2021-07-14,2021,-1,2021-07-14,127,25
397,5845,5860,2021-07-14 09:51:00,2021-07-14 11:06:00,-1,16,0.0059177200616084948,0.013826627693508557,0,0.0079089076319000633,False,False,False,2021-07-14,2021,1,2021-07-14,127,25
398,5861,5879,2021-07-14 11:11:00,2021-07-14 14:16:00,1,19,-0.0046192103511761996,0.0043704702257927946,-0.0046192103511761996,0.0089896805769689933,False,True,False,2021-07-14,2021,-1,2021-07-14,127,25
399,5880,5908,2021-07-14 14:21:00,2021-07-15 11:16:00,-1,29,0.014782819241788273,0.0200065930727308,0,0.0052237738309425276,False,False,False,2021-07-15,2021,1,2021-07-15,128,25
400,5909,5941,2021-07-15 11:21:00,2021-07-16 10:11:00,1,33,0.0064128010840897535,0.01484658987160908,-0.0019889545113044175,0.0084337887875193269,False,False,False,2021-07-16,2021,1,2021-07-16,129,25
401,5942,5959,2021-07-16 10:16:00,2021-07-16 13:16:00,-1,18,0.005849874628180895,0.010069823522679168,-0.00013503911331972962,0.0042199488944982726,False,False,False,2021-07-16,2021,1,2021-07-16,129,25
402,5960,5963,2021-07-16 13:21:00,2021-07-16 13:36:00,1,4,-0.0038497481050550385,0,-0.0038497481050550385,0.0038497481050550385,True,False,False,2021-07-16,2021,-1,2021-07-16,129,25
403,5964,5985,2021-07-16 13:41:00,2021-07-19 10:01:00,-1,22,0.0080715003338765936,0.018891737663272491,-7.7919548106102752e-05,0.010820237329395898,False,False,False,2021-07-19,2021,1,2021-07-19,130,26
404,5986,5991,2021-07-19 10:06:00,2021-07-19 10:31:00,1,6,-0.0075961543574405875,0,-0.0081041821977356314,0.0075961543574405875,True,False,False,2021-07-19,2021,-1,2021-07-19,130,26
405,5992,6001,2021-07-19 10:36:00,2021-07-19 11:21:00,-1,10,0.00017811025071556928,0.0068038729357613927,0,0.0066257626850458233,False,False,False,2021-07-19,2021,1,2021-07-19,130,26
406,6002,6010,2021-07-19 11:26:00,2021-07-19 13:41:00,1,9,-0.0048939307242376216,0.0019245477981584885,-0.0048939307242376216,0.0068184785223961101,False,True,False,2021-07-19,2021,-1,2021-07-19,130,26
407,6011,6018,2021-07-19 13:46:00,2021-07-19 14:21:00,-1,8,-0.0058171213363346309,0.0014994197534729814,-0.0058171213363346309,0.0073165410898076121,False,True,False,2021-07-19,2021,-1,2021-07-19,130,26
408,6019,6035,2021-07-19 14:26:00,2021-07-20 10:21:00,1,17,-0.0069049720100944944,0.0049902304447880554,-0.0080072956337448407,0.011895202454882549,False,True,False,2021-07-20,2021,-1,2021-07-20,131,26
409,6036,6048,2021-07-20 10:26:00,2021-07-20 11:26:00,-1,13,-0.0045161153470341282,0,-0.0072674209828950606,0.0045161153470341282,True,False,False,2021-07-20,2021,-1,2021-07-20,131,26
410,6049,6114,2021-07-20 13:06:00,2021-07-21 14:41:00,1,66,0.032954769589672715,0.039460567128079709,0,0.0065057975384069933,False,False,False,2021-07-21,2021,1,2021-07-21,132,26
411,6115,6133,2021-07-21 14:46:00,2021-07-22 10:51:00,-1,19,0.0014202003461826272,0.0067478976518539225,-0.0039684110827367895,0.0053276973056712949,False,False,False,2021-07-22,2021,1,2021-07-22,133,26
412,6134,6168,2021-07-22 10:56:00,2021-07-23 09:56:00,1,35,0.00610787335718848,0.019814552228106203,-0.0022688245177347418,0.013706678870917723,False,False,False,2021-07-23,2021,1,2021-07-23,134,26
413,6169,6172,2021-07-23 10:01:00,2021-07-23 10:16:00,-1,4,-0.0070884960234888147,0,-0.0075369675956975142,0.0070884960234888147,True,False,False,2021-07-23,2021,-1,2021-07-23,134,26
414,6173,6175,2021-07-23 10:21:00,2021-07-23 10:31:00,1,3,-0.0055117501504935423,0,-0.0073685011163199454,0.0055117501504935423,True,False,False,2021-07-23,2021,-1,2021-07-23,134,26
415,6176,6196,2021-07-23 10:36:00,2021-07-23 13:51:00,-1,21,0.0074733806994900613,0.015215868882352442,-0.0011999658592530176,0.0077424881828623802,False,False,False,2021-07-23,2021,1,2021-07-23,134,26
416,6197,6215,2021-07-23 13:56:00,2021-07-26 10:01:00,1,19,-0.0015885830364628386,0.002154642744236432,-0.001941231914045616,0.0037432257806992706,False,True,False,2021-07-26,2021,-1,2021-07-26,135,27
417,6216,6243,2021-07-26 10:06:00,2021-07-26 13:56:00,-1,28,0.019582765577418147,0.04109181316903246,-0.00035893294748820764,0.021509047591614313,False,False,False,2021-07-26,2021,1,2021-07-26,135,27
418,6244,6285,2021-07-26 14:01:00,2021-07-27 13:36:00,1,42,0.051263548578560747,0.061409960208659992,-0.0025528586228011157,0.010146411630099245,False,False,False,2021-07-27,2021,1,2021-07-27,136,27
419,6286,6308,2021-07-27 13:41:00,2021-07-28 10:06:00,-1,23,0.054616333808135853,0.082829004388043304,0,0.028212670579907451,False,False,False,2021-07-28,2021,1,2021-07-28,137,27
420,6309,6321,2021-07-28 10:11:00,2021-07-28 11:11:00,1,13,-0.00025584927337329264,0.01481238485264358,-0.0032587657366150765,0.015068234126016874,False,True,False,2021-07-28,2021,-1,2021-07-28,137,27
421,6322,6343,2021-07-28 11:16:00,2021-07-28 14:36:00,-1,22,0.00088613790821542512,0.014406423990162967,-0.0065331285547364807,0.013520286081947542,False,False,False,2021-07-28,2021,1,2021-07-28,137,27
422,6344,6391,2021-07-28 14:41:00,2021-07-29 14:46:00,1,48,0.039232331436113925,0.047601475624621858,-0.0061854033758207286,0.0083691441885079335,False,False,False,2021-07-29,2021,1,2021-07-29,138,27
423,6392,6398,2021-07-29 14:51:00,2021-07-30 09:56:00,-1,7,-0.002988483331814327,0.00090334528143874032,-0.0076989259666825714,0.0038918286132530672,False,True,False,2021-07-30,2021,-1,2021-07-30,139,27
424,6399,6400,2021-07-30 10:01:00,2021-07-30 10:06:00,1,2,-0.0097676548685530513,0,-0.0097676548685530513,0.0097676548685530513,True,False,False,2021-07-30,2021,-1,2021-07-30,139,27
425,6401,6409,2021-07-30 10:11:00,2021-07-30 10:51:00,-1,9,-0.011597941904251882,0,-0.011597941904251882,0.011597941904251882,True,False,False,2021-07-30,2021,-1,2021-07-30,139,27
426,6410,6419,2021-07-30 10:56:00,2021-07-30 13:16:00,1,10,0.0016826670469445909,0.010010243807689013,0,0.008327576760744422,False,False,False,2021-07-30,2021,1,2021-07-30,139,27
427,6420,6431,2021-07-30 13:21:00,2021-07-30 14:16:00,-1,12,0.0028836115988763204,0.011457755459224769,0,0.0085741438603484481,False,False,False,2021-07-30,2021,1,2021-07-30,139,27
