horizon,endpoint,c_decile,m3_decile,n,target_mean,sigma_mean,tail_rate
30,future_tail,2,7,238,0.058823529411764705,0.0015288286663862366,0.058823529411764705
30,future_tail,2,8,227,0.04405286343612335,0.0015403961075716045,0.04405286343612335
30,future_tail,2,9,210,0.05238095238095238,0.0016307387869119068,0.05238095238095238
30,future_tail,3,0,269,0.048327137546468404,0.0008070759038897093,0.048327137546468404
30,future_tail,3,1,248,0.020161290322580645,0.0009263207752297101,0.020161290322580645
30,future_tail,3,2,243,0.02880658436213992,0.0009982340472668469,0.02880658436213992
30,future_tail,3,3,273,0.02564102564102564,0.0011388883595799672,0.02564102564102564
30,future_tail,3,4,239,0.012552301255230125,0.0011609367984475208,0.012552301255230125
30,future_tail,3,5,249,0.040160642570281124,0.0012843371675058527,0.040160642570281124
30,future_tail,3,6,250,0.028,0.0013595522609317534,0.028
30,future_tail,3,7,242,0.012396694214876033,0.001437405446059751,0.012396694214876033
30,future_tail,3,8,212,0.03773584905660377,0.0016615297657471655,0.03773584905660377
30,future_tail,3,9,188,0.03723404255319149,0.0017199314995374234,0.03723404255319149
30,future_tail,4,0,252,0.01984126984126984,0.0008230197970033252,0.01984126984126984
30,future_tail,4,1,312,0.02564102564102564,0.0009267043601820842,0.02564102564102564
30,future_tail,4,2,268,0.029850746268656716,0.000982413807931767,0.029850746268656716
30,future_tail,4,3,248,0.04838709677419355,0.0010989663784465112,0.04838709677419355
30,future_tail,4,4,248,0.04435483870967742,0.0011851551582302503,0.04435483870967742
30,future_tail,4,5,261,0.034482758620689655,0.001252357370609212,0.034482758620689655
30,future_tail,4,6,225,0.03111111111111111,0.0013045980619243631,0.03111111111111111
30,future_tail,4,7,198,0.015151515151515152,0.0013511133974786413,0.015151515151515152
30,future_tail,4,8,207,0.06763285024154589,0.001492870677663303,0.06763285024154589
30,future_tail,4,9,195,0.07179487179487179,0.001644472350565582,0.07179487179487179
30,future_tail,5,0,346,0.028901734104046242,0.000784923119664978,0.028901734104046242
30,future_tail,5,1,313,0.01597444089456869,0.0009287406160798227,0.01597444089456869
30,future_tail,5,2,280,0.03214285714285714,0.0010140273671449455,0.03214285714285714
30,future_tail,5,3,274,0.051094890510948905,0.0011095598962023358,0.051094890510948905
30,future_tail,5,4,218,0.06422018348623854,0.0012533736300518684,0.06422018348623854
30,future_tail,5,5,228,0.043859649122807015,0.0013260990606000942,0.043859649122807015
30,future_tail,5,6,215,0.027906976744186046,0.0013732539399318715,0.027906976744186046
30,future_tail,5,7,221,0.06787330316742081,0.001492603484160758,0.06787330316742081
30,future_tail,5,8,171,0.05847953216374269,0.0015085585554603664,0.05847953216374269
30,future_tail,5,9,147,0.047619047619047616,0.0015452258274506264,0.047619047619047616
30,future_tail,6,0,356,0.056179775280898875,0.0009109481224143358,0.056179775280898875
30,future_tail,6,1,300,0.056666666666666664,0.0010550519990231327,0.056666666666666664
30,future_tail,6,2,304,0.05263157894736842,0.0011099365445054945,0.05263157894736842
30,future_tail,6,3,274,0.08759124087591241,0.0012297297945494511,0.08759124087591241
30,future_tail,6,4,259,0.07722007722007722,0.0013245856305923371,0.07722007722007722
30,future_tail,6,5,230,0.06956521739130435,0.0013194233142137298,0.06956521739130435
30,future_tail,6,6,247,0.05668016194331984,0.0014088576708232482,0.05668016194331984
30,future_tail,6,7,179,0.061452513966480445,0.001418472048642002,0.061452513966480445
30,future_tail,6,8,161,0.09316770186335403,0.0015879260186885773,0.09316770186335403
30,future_tail,6,9,103,0.08737864077669903,0.0017044533446797956,0.08737864077669903
30,future_tail,7,0,416,0.09615384615384616,0.0011240371994575748,0.09615384615384616
30,future_tail,7,1,351,0.1396011396011396,0.0012707353488437744,0.1396011396011396
30,future_tail,7,2,314,0.1592356687898089,0.0013490686982475207,0.1592356687898089
30,future_tail,7,3,288,0.08333333333333333,0.001374049678909548,0.08333333333333333
30,future_tail,7,4,275,0.16363636363636364,0.001571113441401926,0.16363636363636364
30,future_tail,7,5,241,0.12033195020746888,0.0015582980222424402,0.12033195020746888
30,future_tail,7,6,182,0.15384615384615385,0.0016820048219443316,0.15384615384615385
30,future_tail,7,7,174,0.13218390804597702,0.0016771873125511626,0.13218390804597702
30,future_tail,7,8,121,0.15702479338842976,0.0017910492195056412,0.15702479338842976
30,future_tail,7,9,52,0.28846153846153844,0.0019917017114109196,0.28846153846153844
