year,feature,high_a,low_a,year_cycles,high_feature,low_feature,high_bars,low_bars,high_amplitude,low_amplitude,delta_net_log,delta_capture
2021,motion_concentration,1858,5563,639,2.9073598742850604,1.4347667284267778,15,15,0.015887466655636118,0.016713302661491625,-0.0034779923861887356,-0.09557942757463583
2021,motion_concentration,2084,1489,639,2.655893658971414,1.4348212377566898,8,8,0.01689230694268673,0.014121888731415844,0.0006024809518181129,0.26774252963305334
2021,motion_concentration,2143,1178,639,4.106018019625859,1.415726046533294,21,21,0.019642438567847975,0.016009386419781002,0.0001386096443765309,-0.11457872657294721
2021,motion_concentration,2164,786,639,1.9188179960867855,1.2109580737357868,5,6,0.006643954102678151,0.00577330122455777,-0.0020061141338560376,-0.18125041470705067
2021,motion_concentration,2283,630,639,2.351507989554071,1.4399516905858845,34,33,0.0163308105518416,0.014902218028482572,0.002162235944286035,0.07478695607687653
2021,motion_concentration,2341,5393,639,3.787384792596766,1.3503557226619778,12,14,0.009622222971443328,0.00826983520550506,-0.015786183496352642,-0.6588361422441315
2021,motion_concentration,2440,4764,639,2.1622468974533717,1.455741829625918,33,34,0.01428257752206541,0.016906039736952927,0.012230608938099002,0.27845975124528444
2021,motion_concentration,2490,1533,639,2.106517009095244,1.455192268087576,18,19,0.01196272622243022,0.012611616968825956,0.00409027688468141,0.1345641510583398
2021,motion_concentration,2532,7554,639,2.1283308268469967,1.1464784184661883,15,15,0.00653768447424774,0.006697279288497171,0.0003003187298672178,0.32997795473682434
2021,motion_concentration,2724,2508,639,2.5222260521532585,1.3279404032200617,18,17,0.00847221099699702,0.008133866152601144,-0.00614369450529502,-0.3971809475850479
2021,motion_concentration,2769,723,639,1.9724266002114126,1.3885643737931739,31,29,0.021648316823037916,0.025358519623752684,0.017473711856547943,0.4521125482161903
2021,motion_concentration,2916,11208,639,2.7916257602729293,1.4502003538047135,17,20,0.010196636671008008,0.010386596756421618,0.00918404838469419,0.6474134427860321
2021,motion_concentration,3003,4710,639,2.0141716373836567,1.4619658804706777,37,30,0.018929529182390326,0.020764781957907097,0.008919969438753726,0.22281088079088968
2021,motion_concentration,3061,123,639,2.3806488700144373,1.342693918366454,10,9,0.0020742331205703124,0.0022885494002302664,0.0020423696601927317,0.29865373654590877
2021,motion_concentration,3071,253,639,2.05528110376679,1.3430794720756225,27,25,0.019696929603226998,0.020401909739540258,-0.015103671486113825,-0.34226934833505956
2021,motion_concentration,3117,601,639,2.4148487759506225,1.3986782527891757,33,29,0.013014951391837393,0.013732460783177913,-0.0004463670162656039,-0.0021127274904304966
2021,motion_concentration,3222,156,639,2.615252997517226,1.3807440374303224,7,6,0.0033630972163560813,0.0028459975330994425,-0.0006362105319103731,-0.1315905384856505
2021,motion_concentration,3258,9714,639,2.056576457429968,1.2572018308436061,13,12,0.007612973215409546,0.007696582365946725,-0.0064554420248173205,-0.39340706720481045
