view,family,period_days,period_bars,positive_years,median_annual_logret,dev_pooled_logret,flip_rate,logret_2021,logret_2022,logret_2023,logret_2024,logret_2025,logret_2026
5m_offset_0,butter_bp_n1,4,192,5,0.38685388875272597,2.4436758298642403,0.03908477542839398,0.749243511702526,0.3487758585970642,0.13973576280052577,0.8190668080113982,0.38685388875272597,-0.017004070250803305
30m_offset_15,butter_lp_n1,8,64,5,0.3848522512817866,1.7714097293630675,0.07702733227919584,0.15592806087778416,0.3848522512817866,0.4280189313716742,0.6515922925003956,0.15101819333142702,0.41535630434996845
5m_offset_0,butter_lp_n1,10,480,5,0.3829962957740739,2.185681238431034,0.027383338508878412,0.3829962957740739,0.4432695037625074,0.28812152442366584,0.7091429099597095,0.362151004511077,0.5290844112890448
5m_offset_0,butter_lp_n1,3,144,5,0.3777768488256325,2.204769899729206,0.05469610140304322,0.5487870586923729,0.3777768488256325,0.08914705189609402,0.8812061855131099,0.3078527548019965,-0.08581248851749632
15m_offset_5,butter_lp_n2,2,32,5,0.3753355322608246,1.933967938090975,0.052318265414771074,0.3753355322608246,0.21210149559152405,0.3601066443856695,0.5004611063120631,0.48596315954089353,-0.021348927499250936
5m_offset_0,butter_lp_n2,2,96,5,0.36865845363330646,1.5185820445027938,0.018730768144990542,0.501668123863056,0.05444587614002397,0.11123897637780657,0.48257061448860084,0.36865845363330646,0.3415777925235429
15m_offset_5,ema_lp,3,48,5,0.3637838524075365,2.2238262669057343,0.06858000193592101,0.3415053853027292,0.3637838524075365,0.42306587342225455,0.7931220169970705,0.30234913877614356,0.3111575784565791
5m_offset_0,butter_lp_n1,6,288,5,0.362212260742807,2.0581667883734944,0.03675578014284504,0.47524853810463225,0.24178071042055793,0.13157257170698272,0.8473527073985145,0.362212260742807,0.38276415774211586
30m_offset_15,sma_lp,3,24,5,0.3519761946882577,1.5832060684588802,0.07262254348317145,0.15173307967051586,0.3519761946882577,0.25584084550421066,0.43414262816132837,0.38951332043456766,0.3714393287025666
15m_offset_5,ema_lp,2,32,5,0.3471059553046191,2.1281399819047686,0.08687445552221469,0.3908647682807949,0.3471059553046191,0.23267344231453227,0.8335005806557618,0.3239952353490604,0.5069158168774484
15m_offset_5,ema_lp,5,80,5,0.3411147155307984,1.6963860528215997,0.051301906882199204,0.1293584208700592,0.3411147155307984,0.36591782190629274,0.6643053514899113,0.19568974302453795,0.3718241129219717
5m_offset_0,butter_lp_n1,8,384,5,0.33807896301195817,2.244543371302119,0.032182480309403495,0.3372651158036322,0.33807896301195817,0.21258175291494455,0.8933657581944228,0.4632517813771614,0.4520972772864855
5m_offset_0,ema_lp,6,288,5,0.3364472402321131,2.067881468111434,0.026423510148773397,0.3364472402321131,0.41568991839258507,0.33398298020232364,0.7909351461317136,0.19082618315269848,0.32549172903379925
30m_offset_15,butter_lp_n1,10,80,5,0.33006178116558077,1.7421545403347052,0.06652360515021459,0.16138521972444114,0.3800703803783962,0.33006178116558077,0.6554495840803811,0.21518757498590596,0.5332058704533563
30m_offset_15,butter_lp_n1,3,24,5,0.32762660684452105,1.6965561249696797,0.13259543709058053,0.2691267742423251,0.3720692121570463,0.19697600101287244,0.5307575307129148,0.32762660684452105,-0.04615374830866181
5m_offset_0,butter_lp_n1,4,192,5,0.322112057172801,1.958435369472492,0.04629760325212433,0.3971333489969795,0.26879446169289795,0.07418041877663739,0.8962150828331763,0.322112057172801,0.07425263104793324
15m_offset_5,butter_lp_n2,3,48,5,0.3190893036574508,1.5835965781697419,0.0349917723356887,0.3190893036574508,0.37645676093500147,0.19054505372207295,0.5464997572540078,0.1510057026012089,-0.020067642147518883
30m_offset_15,ema_lp,8,64,5,0.31780556379371505,1.671472389435865,0.05714931104585498,0.273246354977808,0.33852223543767007,0.31780556379371505,0.6489977651118403,0.0929004701148316,0.5116884748998365
5m_offset_0,butter_bp_n1,3,144,5,0.31749896327362137,2.4697870578415557,0.04698924427631765,0.7116014191041481,0.226130786708571,0.19982502063250918,1.0147308681227059,0.31749896327362137,0.09148947363985216
30m_offset_15,ema_lp,2,16,5,0.3166197254249579,2.0518501690498763,0.12005873051728033,0.10277679373614386,0.5661658963720277,0.3166197254249579,0.7875288652039566,0.27875888831278994,0.03555269858272431
5m_offset_0,butter_lp_n1,5,240,5,0.31427518139200655,2.110926737482266,0.040849165796234085,0.49693971385768326,0.16740049376024763,0.1348662163677891,0.9974451321045394,0.31427518139200655,0.29546904828423004
30m_offset_15,butter_bp_n1,6,48,5,0.31245298722469905,1.4690795116527813,0.08617573977863113,0.31245298722469905,0.08479628602529406,0.1775394912261391,0.39202772577523015,0.502263021401419,-0.11076673504702655
30m_offset_15,butter_lp_n1,4,32,5,0.30459796520431176,1.8758275191477858,0.11362096227693698,0.23823425110331975,0.5460830753510624,0.2503490843597944,0.5365631431292974,0.30459796520431176,-0.027880216352001913
5m_offset_0,ema_lp,8,384,5,0.30098394071777435,1.8971918577008804,0.021596138102362872,0.2930187145809441,0.3437309223236651,0.30098394071777435,0.7735085376351138,0.18594974244338297,0.5088685913821683
30m_offset_15,ema_lp,6,48,5,0.2961748748553231,1.3932427336967375,0.06573300203297945,0.10548127520090478,0.33122109632952285,0.2961748748553231,0.4593930514145541,0.20097243589643268,0.5629069756883681
15m_offset_5,sma_lp,4,64,5,0.29308761241936154,1.5907391073189854,0.04244506824121576,0.11012428188847426,0.2278731307484259,0.3076018963534096,0.652052185909314,0.29308761241936154,0.47466749776855954
30m_offset_15,ema_lp,4,32,5,0.290103352104383,1.5134705313271382,0.08018974474813644,0.12240024415019815,0.38919451496061663,0.290103352104383,0.5326819657918724,0.17909045432006798,0.4836387740598622
