day,year,slot,q,high
2022-04-27,2022,1,1.8582823652190452,True
2022-04-27,2022,2,1.6516777199954513,False
2022-04-27,2022,3,1.4457068914002766,False
2022-04-28,2022,0,1.8805071986655182,True
2022-04-28,2022,1,1.3900630126475146,False
2022-04-28,2022,2,1.6830305850304186,False
2022-04-28,2022,3,1.63604460428145,False
2022-04-29,2022,0,1.4234161107881746,False
2022-04-29,2022,1,1.3252521396462675,False
2022-04-29,2022,2,2.604588383115601,True
2022-04-29,2022,3,1.478520075450718,False
2022-05-05,2022,0,1.4637192279699927,False
2022-05-05,2022,1,1.6459721838297874,False
2022-05-05,2022,2,1.291524544254403,False
2022-05-05,2022,3,1.4881258253769005,False
2022-05-06,2022,0,3.4880897334641636,True
2022-05-06,2022,1,1.5529486409539828,False
2022-05-06,2022,2,1.5734969589946426,False
2022-05-06,2022,3,1.8135507243922866,True
2022-05-09,2022,0,1.2290410650875694,False
2022-05-09,2022,1,2.212420263388583,True
2022-05-09,2022,2,1.3612093034764556,False
2022-05-09,2022,3,1.7514961733702108,False
2022-05-10,2022,0,1.2042265000223915,False
2022-05-10,2022,1,1.4813984177006068,False
2022-05-10,2022,2,1.9518022161823374,True
2022-05-10,2022,3,1.7172014927789068,False
2022-05-11,2022,0,1.4991645999059326,False
2022-05-11,2022,1,1.4838326627291176,False
2022-05-11,2022,2,1.4645523005240755,False
2022-05-11,2022,3,1.6594047676991748,False
2022-05-12,2022,0,1.7484014212573966,False
2022-05-12,2022,1,1.5992552514590246,False
2022-05-12,2022,2,1.4722407129102548,False
2022-05-12,2022,3,1.4065748475617001,False
2022-05-13,2022,0,1.2296487506107905,False
2022-05-13,2022,1,1.855900300866861,True
2022-05-13,2022,2,1.3010323610099213,False
2022-05-13,2022,3,1.2257848015602606,False
2022-05-16,2022,0,1.8046312304960082,True
2022-05-16,2022,1,1.294182030549265,False
2022-05-16,2022,2,1.327308049193463,False
2022-05-16,2022,3,1.3876151065332354,False
2022-05-17,2022,0,1.5316296722298173,False
2022-05-17,2022,1,1.2967902457542917,False
2022-05-17,2022,2,1.7129639011039983,False
2022-05-17,2022,3,1.4803552205641644,False
2022-05-18,2022,0,1.597557985018531,False
2022-05-18,2022,1,2.0748450018117865,True
2022-05-18,2022,2,1.3211294616676739,False
2022-05-18,2022,3,1.5992049532909085,False
2022-05-19,2022,0,1.6290011558453024,False
2022-05-19,2022,1,1.296682633681482,False
2022-05-19,2022,2,1.506017563087801,False
2022-05-19,2022,3,1.1955209065112642,False
2022-05-20,2022,0,2.106262464401377,True
2022-05-20,2022,1,1.3341727348248573,False
2022-05-20,2022,2,1.5053416649816735,False
2022-05-20,2022,3,1.5550424637360445,False
2022-05-23,2022,0,2.0014275801335817,True
2022-05-23,2022,1,1.2328709747843398,False
2022-05-23,2022,2,1.4274135044294718,False
2022-05-23,2022,3,1.4792082922032688,False
2022-05-24,2022,0,1.7277171710011103,False
2022-05-24,2022,1,1.4583062626433267,False
2022-05-24,2022,2,1.5893644330942707,False
2022-05-24,2022,3,1.4614397356361144,False
2022-05-25,2022,0,1.5262004974760153,False
2022-05-25,2022,1,1.4370191911672043,False
2022-05-25,2022,2,1.352499190701378,False
2022-05-25,2022,3,1.8277532563168493,True
2022-05-26,2022,0,1.7379307415251737,False
2022-05-26,2022,1,1.7157707038987275,False
2022-05-26,2022,2,1.7057983448791978,False
2022-05-26,2022,3,1.4142076107266652,False
2022-05-27,2022,0,1.7090966288551213,False
2022-05-27,2022,1,1.752655433239681,False
2022-05-27,2022,2,1.393044161027435,False
2022-05-27,2022,3,1.3526810583992124,False
2022-05-30,2022,0,1.5591979657205612,False
2022-05-30,2022,1,1.4086927075845082,False
2022-05-30,2022,2,1.8786819103131431,True
2022-05-30,2022,3,1.5006898500905153,False
2022-05-31,2022,0,1.5013398160046445,False
2022-05-31,2022,1,1.2491458877829482,False
2022-05-31,2022,2,1.5950600548982794,False
2022-05-31,2022,3,1.9244070160818896,True
2022-06-01,2022,0,1.5435983838636123,False
2022-06-01,2022,1,1.5360746815561979,False
2022-06-01,2022,2,1.8484887301869102,True
2022-06-01,2022,3,1.5648428367604659,False
2022-06-02,2022,0,1.389487924764806,False
2022-06-02,2022,1,1.154413025082548,False
2022-06-02,2022,2,1.4100729076022613,False
2022-06-02,2022,3,1.1432504612556307,False
2022-06-06,2022,0,1.7809303317322829,True
2022-06-06,2022,1,1.563352835418521,False
2022-06-06,2022,2,1.5538530273113467,False
2022-06-06,2022,3,1.4612744183832496,False
2022-06-07,2022,0,1.2762939875891646,False
2022-06-07,2022,1,1.4014691802981898,False
2022-06-07,2022,2,1.643943489315773,False
