symbol,horizon,year,sampling,model,rule,factor,context,rows,events,alerts,hits,precision,recall,alert_time_share,false_positive_rate
000852.SH,5,2025,dense,multiscale,probability_0.5,2,quiet_no_recent_shock,25411,3320,711,491,0.6905766526019691,0.14789156626506025,0.027980008657667938,0.009958806753881671
000852.SH,5,2025,dense,multiscale,probability_0.5,3,all,55890,1367,300,263,0.8766666666666667,0.19239209948792976,0.005367686527106817,0.000678612695559672
000852.SH,5,2025,dense,multiscale,probability_0.5,3,quiet_no_recent_shock,25411,1168,182,154,0.8461538461538461,0.13184931506849315,0.007162252567785605,0.0011549725694014767
000852.SH,5,2025,dense,multiscale,probability_0.5,4,all,55890,647,203,173,0.8522167487684729,0.26738794435857804,0.0036321345500089463,0.0005430552287167605
000852.SH,5,2025,dense,multiscale,probability_0.5,4,quiet_no_recent_shock,25411,515,101,85,0.8415841584158416,0.1650485436893204,0.003974656644760143,0.0006426735218508997
000852.SH,5,2025,nonoverlap,multiscale,point,2,all,11178,984,613,396,0.6460032626427407,0.4024390243902439,0.05483986401860798,0.021287031587208162
000852.SH,5,2025,nonoverlap,multiscale,point,2,quiet_no_recent_shock,5112,749,462,282,0.6103896103896104,0.376502002670227,0.0903755868544601,0.0412560165024066
000852.SH,5,2025,nonoverlap,multiscale,point,3,all,11178,416,280,233,0.8321428571428572,0.5600961538461539,0.025049203793165147,0.004367217989221335
000852.SH,5,2025,nonoverlap,multiscale,point,3,quiet_no_recent_shock,5112,314,176,140,0.7954545454545454,0.445859872611465,0.03442879499217527,0.007503126302626094
000852.SH,5,2025,nonoverlap,multiscale,point,4,all,11178,269,218,177,0.8119266055045872,0.6579925650557621,0.019502594381821434,0.003758364653038775
000852.SH,5,2025,nonoverlap,multiscale,point,4,quiet_no_recent_shock,5112,181,118,92,0.7796610169491526,0.5082872928176796,0.023082942097026604,0.005272764145203813
000852.SH,5,2025,nonoverlap,persistence,point,2,all,11178,984,0,0,,0.0,0.0,0.0
000852.SH,5,2025,nonoverlap,persistence,point,2,quiet_no_recent_shock,5112,749,0,0,,0.0,0.0,0.0
000852.SH,5,2025,nonoverlap,persistence,point,3,all,11178,416,0,0,,0.0,0.0,0.0
000852.SH,5,2025,nonoverlap,persistence,point,3,quiet_no_recent_shock,5112,314,0,0,,0.0,0.0,0.0
000852.SH,5,2025,nonoverlap,persistence,point,4,all,11178,269,0,0,,0.0,0.0,0.0
000852.SH,5,2025,nonoverlap,persistence,point,4,quiet_no_recent_shock,5112,181,0,0,,0.0,0.0,0.0
000852.SH,5,2025,nonoverlap,clock_only,point,2,all,11178,984,1936,601,0.31043388429752067,0.6107723577235772,0.1731973519413133,0.1309593878752207
000852.SH,5,2025,nonoverlap,clock_only,point,2,quiet_no_recent_shock,5112,749,1772,490,0.2765237020316027,0.6542056074766355,0.34663536776212833,0.293834517533807
000852.SH,5,2025,nonoverlap,clock_only,point,3,all,11178,416,717,293,0.4086471408647141,0.7043269230769231,0.06414385399892646,0.03939788143467757
000852.SH,5,2025,nonoverlap,clock_only,point,3,quiet_no_recent_shock,5112,314,615,201,0.32682926829268294,0.6401273885350318,0.12030516431924883,0.08628595248020009
000852.SH,5,2025,nonoverlap,clock_only,point,4,all,11178,269,395,210,0.5316455696202531,0.7806691449814126,0.035337269636786545,0.01695847465395545
000852.SH,5,2025,nonoverlap,clock_only,point,4,quiet_no_recent_shock,5112,181,299,126,0.4214046822742475,0.6961325966850829,0.05848982785602504,0.03508416142770229
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,high_level,all,11178,6008,5663,4482,0.7914532933074342,0.746005326231691,0.506620146716765,0.22843326885880078
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,2,all,11178,984,361,304,0.8421052631578947,0.3089430894308943,0.03229558060475935,0.005591524426133019
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,2,quiet_no_recent_shock,5112,749,243,198,0.8148148148148148,0.2643524699599466,0.04753521126760563,0.01031400412560165
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,3,all,11178,416,233,211,0.9055793991416309,0.5072115384615384,0.02084451601359814,0.0020442296970823266
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,3,quiet_no_recent_shock,5112,314,132,118,0.8939393939393939,0.37579617834394907,0.025821596244131457,0.0029178824510212586
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,4,all,11178,269,189,160,0.8465608465608465,0.5947955390334573,0.016908212560386472,0.0026583554862957192
000852.SH,5,2025,nonoverlap,multiscale,probability_0.5,4,quiet_no_recent_shock,5112,181,93,78,0.8387096774193549,0.430939226519337,0.018192488262910797,0.003041979314540661
000852.SH,15,2025,dense,multiscale,point,2,all,51030,1510,475,453,0.9536842105263158,0.3,0.00930825004899079,0.000444264943457189
000852.SH,15,2025,dense,multiscale,point,2,quiet_no_recent_shock,19557,981,258,244,0.9457364341085271,0.24872579001019368,0.01319220739377205,0.0007536606373815676
000852.SH,15,2025,dense,multiscale,point,3,all,51030,531,232,204,0.8793103448275862,0.384180790960452,0.004546345287086028,0.0005544664250777243
000852.SH,15,2025,dense,multiscale,point,3,quiet_no_recent_shock,19557,350,122,109,0.8934426229508197,0.31142857142857144,0.006238175589303063,0.0006768365700005206
000852.SH,15,2025,dense,multiscale,point,4,all,51030,269,172,133,0.7732558139534884,0.4944237918215613,0.0033705663335292964,0.0007683063769429287
000852.SH,15,2025,dense,multiscale,point,4,quiet_no_recent_shock,19557,158,83,64,0.7710843373493976,0.4050632911392405,0.0042440047041979855,0.0009794319294809011
000852.SH,15,2025,dense,persistence,point,2,all,51030,1510,0,0,,0.0,0.0,0.0
000852.SH,15,2025,dense,persistence,point,2,quiet_no_recent_shock,19557,981,0,0,,0.0,0.0,0.0
000852.SH,15,2025,dense,persistence,point,3,all,51030,531,0,0,,0.0,0.0,0.0
000852.SH,15,2025,dense,persistence,point,3,quiet_no_recent_shock,19557,350,0,0,,0.0,0.0,0.0
000852.SH,15,2025,dense,persistence,point,4,all,51030,269,0,0,,0.0,0.0,0.0
000852.SH,15,2025,dense,persistence,point,4,quiet_no_recent_shock,19557,158,0,0,,0.0,0.0,0.0
000852.SH,15,2025,dense,clock_only,point,2,all,51030,1510,3770,907,0.24058355437665782,0.6006622516556291,0.07387811091514795,0.05781502423263328
000852.SH,15,2025,dense,clock_only,point,2,quiet_no_recent_shock,19557,981,3200,574,0.179375,0.5851172273190621,0.16362427775221147,0.14136520241171405
000852.SH,15,2025,dense,clock_only,point,3,all,51030,531,868,415,0.478110599078341,0.7815442561205274,0.01700960219478738,0.008970474662864611
000852.SH,15,2025,dense,clock_only,point,3,quiet_no_recent_shock,19557,350,666,261,0.3918918918918919,0.7457142857142857,0.03405430280717901,0.021086062373093142
000852.SH,15,2025,dense,clock_only,point,4,all,51030,269,430,224,0.5209302325581395,0.8327137546468402,0.008426415833823241,0.004058233683339572
000852.SH,15,2025,dense,clock_only,point,4,quiet_no_recent_shock,19557,158,293,132,0.45051194539249145,0.8354430379746836,0.014981847931686864,0.008299396876127636
000852.SH,15,2025,dense,multiscale,probability_0.5,high_level,all,51030,29278,27867,23689,0.8500735637133527,0.8091058132386092,0.5460905349794238,0.19207429201912468
000852.SH,15,2025,dense,multiscale,probability_0.5,2,all,51030,1510,358,351,0.9804469273743017,0.2324503311258278,0.007015481089555163,0.00014135702746365106
000852.SH,15,2025,dense,multiscale,probability_0.5,2,quiet_no_recent_shock,19557,981,188,183,0.973404255319149,0.18654434250764526,0.009612926317942425,0.0002691645133505599
000852.SH,15,2025,dense,multiscale,probability_0.5,3,all,51030,531,210,188,0.8952380952380953,0.3540489642184557,0.00411522633744856,0.00043565219113249766
000852.SH,15,2025,dense,multiscale,probability_0.5,3,quiet_no_recent_shock,19557,350,108,97,0.8981481481481481,0.27714285714285714,0.005522319374137137,0.0005727078669235174
000852.SH,15,2025,dense,multiscale,probability_0.5,4,all,51030,269,156,122,0.782051282051282,0.45353159851301117,0.0030570252792475015,0.0006698055593861429
000852.SH,15,2025,dense,multiscale,probability_0.5,4,quiet_no_recent_shock,19557,158,69,53,0.7681159420289855,0.33544303797468356,0.00352814848903206,0.0008247847827207588
000852.SH,15,2025,nonoverlap,multiscale,point,2,all,3402,284,235,233,0.9914893617021276,0.8204225352112676,0.06907701352145797,0.0006414368184733803
000852.SH,15,2025,nonoverlap,multiscale,point,2,quiet_no_recent_shock,1343,167,125,125,1.0,0.7485029940119761,0.09307520476545049,0.0
000852.SH,15,2025,nonoverlap,multiscale,point,3,all,3402,202,214,186,0.8691588785046729,0.9207920792079208,0.06290417401528513,0.00875
000852.SH,15,2025,nonoverlap,multiscale,point,3,quiet_no_recent_shock,1343,114,113,100,0.8849557522123894,0.8771929824561403,0.08413998510796723,0.010577705451586655
000852.SH,15,2025,nonoverlap,multiscale,point,4,all,3402,152,167,128,0.7664670658682635,0.8421052631578947,0.04908877131099353,0.012
000852.SH,15,2025,nonoverlap,multiscale,point,4,quiet_no_recent_shock,1343,85,82,63,0.7682926829268293,0.7411764705882353,0.06105733432613552,0.015103338632750398
000852.SH,15,2025,nonoverlap,persistence,point,2,all,3402,284,0,0,,0.0,0.0,0.0
000852.SH,15,2025,nonoverlap,persistence,point,2,quiet_no_recent_shock,1343,167,0,0,,0.0,0.0,0.0
000852.SH,15,2025,nonoverlap,persistence,point,3,all,3402,202,0,0,,0.0,0.0,0.0
000852.SH,15,2025,nonoverlap,persistence,point,3,quiet_no_recent_shock,1343,114,0,0,,0.0,0.0,0.0
000852.SH,15,2025,nonoverlap,persistence,point,4,all,3402,152,0,0,,0.0,0.0,0.0
000852.SH,15,2025,nonoverlap,persistence,point,4,quiet_no_recent_shock,1343,85,0,0,,0.0,0.0,0.0
000852.SH,15,2025,nonoverlap,clock_only,point,2,all,3402,284,414,244,0.5893719806763285,0.8591549295774648,0.12169312169312169,0.05452212957023733
000852.SH,15,2025,nonoverlap,clock_only,point,2,quiet_no_recent_shock,1343,167,307,140,0.4560260586319218,0.8383233532934131,0.2285927029039464,0.14200680272108843
000852.SH,15,2025,nonoverlap,clock_only,point,3,all,3402,202,224,191,0.8526785714285714,0.9455445544554455,0.06584362139917696,0.0103125
000852.SH,15,2025,nonoverlap,clock_only,point,3,quiet_no_recent_shock,1343,114,142,113,0.795774647887324,0.9912280701754386,0.10573343261355175,0.023596419853539462
000852.SH,15,2025,nonoverlap,clock_only,point,4,all,3402,152,191,142,0.743455497382199,0.9342105263157895,0.05614344503233392,0.015076923076923076
000852.SH,15,2025,nonoverlap,clock_only,point,4,quiet_no_recent_shock,1343,85,115,81,0.7043478260869566,0.9529411764705882,0.08562918838421445,0.02702702702702703
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,high_level,all,3402,2054,1945,1666,0.8565552699228792,0.8111002921129503,0.5717225161669606,0.206973293768546
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,2,all,3402,284,231,229,0.9913419913419913,0.8063380281690141,0.06790123456790123,0.0006414368184733803
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,2,quiet_no_recent_shock,1343,167,122,122,1.0,0.7305389221556886,0.09084139985107967,0.0
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,3,all,3402,202,199,177,0.8894472361809045,0.8762376237623762,0.058495002939447385,0.006875
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,3,quiet_no_recent_shock,1343,114,106,95,0.8962264150943396,0.8333333333333334,0.07892777364110201,0.008950366151342554
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,4,all,3402,152,152,118,0.7763157894736842,0.7763157894736842,0.04467960023515579,0.010461538461538461
000852.SH,15,2025,nonoverlap,multiscale,probability_0.5,4,quiet_no_recent_shock,1343,85,69,53,0.7681159420289855,0.6235294117647059,0.05137751303052867,0.012718600953895072
