case,bar,raw_log,filtered_log,sigma,signal,exec_pos,pnl_log
1,25,0.002203298261984863,0.0014173253108053512,0.0006121638634897124,1.0,1.0,0.0005467017380151382
1,26,0.002473076211353316,0.0018065273558851831,0.0006121638634897124,1.0,1.0,0.00045329826198491026
1,27,0.0025177669529663684,0.002097688315176989,0.0006121638634897124,1.0,1.0,0.00026977794936838844
1,28,0.0022410254037844393,0.0022167520677249647,0.0006121638634897124,1.0,1.0,4.4690741612936704e-05
1,29,0.001496191480798315,0.0020696092581521113,0.0006121638634897124,1.0,1.0,-0.0002767415491819325
1,30,0.00025000000000000055,0.0015639031419628514,0.0006121638634897124,-1.0,1.0,-0.0007448339229859905
1,31,-0.0012461914807983157,0.0006923998694012559,0.0006121638634897124,-1.0,1.0,-0.0012461914807982896
1,32,-0.0024910254037844386,-0.00039000960413876655,0.0006121638634897124,-1.0,-1.0,0.0014961914807983029
1,33,-0.0030177669529663684,-0.001389316953271544,0.0006121638634897124,-1.0,-1.0,0.0012448339229861444
1,34,-0.0027230762113533164,-0.0020153054259731823,0.0006121638634897124,-1.0,-1.0,0.0005267415491819244
1,35,-0.0019532982619848644,-0.002151771336347374,0.0006121638634897124,-1.0,-1.0,-0.0002946907416130792
1,36,-0.0012500000000000005,-0.0019192623343412983,0.0006121638634897124,-1.0,-1.0,-0.0007697779493685373
1,37,-0.000953298261984863,-0.0015736983340388921,0.0006121638634897124,-1.0,-1.0,-0.0007032982619849844
1,38,-0.0009910254037844384,-0.0013194590937534376,0.0006121638634897124,1.0,-1.0,-0.0002967017380149669
1,39,-0.0010177669529663686,-0.00118629783738058,0.0006121638634897124,1.0,-1.0,3.772714179954839e-05
1,40,-0.0007589745962155621,-0.0010603790444914237,0.0006121638634897124,1.0,1.0,-2.6741549181859067e-05
1,41,-0.0002461914807983149,-0.0008246267127149788,0.0006121638634897124,1.0,1.0,0.0002587923567507465
1,42,0.000249999999999999,-0.0004752936197592603,0.0006121638634897124,1.0,1.0,0.0005127831154171812
1,43,0.0004961914807983152,-0.00011672208506591946,0.0006121638634897124,1.0,1.0,0.0004961914807983376
1,44,0.0005089745962155615,0.00014502705870163453,0.0006121638634897124,1.0,1.0,0.0002461914807983357
1,45,0.0005177669529663685,0.00030070743106795314,0.0006121638634897124,1.0,1.0,1.2783115417356012e-05
1,46,0.0007410254037844384,0.0004396276416378461,0.0006121638634897124,1.0,1.0,8.792356750641047e-06
1,47,0.0012032982619848652,0.0006647030742156289,0.0006121638634897124,1.0,1.0,0.00022325845081805885
