day,slot,first_index,last_index,first_booking,last_booking,first_body_label,gross_log,net_proxy_log,price_abs_log,body_abs_log,gap_abs_log,top1_price_share,top2_price_share,top2_body_share,up_top2_share,down_top2_share,other10_body_median_over_top2_mean,body_dominated,large_body_pattern,body_pnl_log,gap_pnl_log,overnight_gap_abs_log
2025-04-11,3,3108,3119,2025-04-11 14:05:00,2025-04-11 15:00:00,2025-04-11 14:00:00,-0.002319582200835873,-0.002719622206170007,0.01445179151728107,0.013898998829761849,0.0009076024309721351,0.18285878564270314,0.33122908450243616,0.33097970108987973,0.7595904096320535,0.4757281932959046,0.38743611764250074,True,False,-0.00243791909915718,0.00011833689832115404,0.0
2025-04-14,0,3120,3131,2025-04-14 09:35:00,2025-04-14 10:30:00,2025-04-11 15:00:00,-0.002938761286258898,-0.003338801291593032,0.028788235033768973,0.024547997490457014,0.007478999685821412,0.1980970491195341,0.3742273516703771,0.3943357132161123,0.6164751784227444,0.6507232052394843,0.24734763300109155,True,False,0.0032982264938019143,-0.006236987780060297,0.0064533197351650294
2025-04-14,1,3132,3143,2025-04-14 10:35:00,2025-04-14 11:30:00,2025-04-14 10:30:00,0.006118453082863224,0.006118453082863224,0.01687821351129953,0.016583194648370676,0.001255543388178541,0.23628162558422217,0.42518552251999525,0.4309794836327581,0.6241228050701498,0.794867460972882,0.2422677846918409,True,False,0.005707039226039151,0.00041141385682437205,0.0
2025-04-14,2,3144,3155,2025-04-14 13:05:00,2025-04-14 14:00:00,2025-04-14 11:30:00,-0.003200870003337925,-0.0036009100086720584,0.010200325872153818,0.010485731276705934,0.0009359371126078525,0.3998941523003912,0.5361755470908598,0.5074849804119428,0.6076550840529147,0.6999037860886748,0.18521223379087617,True,True,-0.0035848771394764484,0.00038400713613812395,0.0
2025-04-14,3,3156,3167,2025-04-14 14:05:00,2025-04-14 15:00:00,2025-04-14 14:00:00,-0.0002957588206977753,-0.0002957588206977753,0.008928477910003672,0.00854435221843722,0.0006602528240165138,0.12021140204977021,0.23723810962108202,0.23634969502776795,0.45926297925829274,0.4632184062560393,0.8010102378257823,True,False,-8.912940357160839e-05,-0.00020662941712641135,0.0
2025-04-15,0,3168,3179,2025-04-15 09:35:00,2025-04-15 10:30:00,2025-04-14 15:00:00,0.014466026362872288,0.014466026362872288,0.024078047168139487,0.021102904302349054,0.0035756401560396328,0.21035193580203015,0.38148252435475993,0.424407365300723,0.754415137271535,0.47661564405456425,0.29441799479542646,True,False,0.012270386043245016,0.002195640319627205,0.002576570442429914
2025-04-15,1,3180,3191,2025-04-15 10:35:00,2025-04-15 11:30:00,2025-04-15 10:30:00,-0.0120613325938488,-0.012461372599182933,0.018219338708994712,0.017810902709738834,0.0009082852443858832,0.2827316587781986,0.541892310256138,0.5414790226752255,0.6664060512344357,0.7343835022822662,0.16170640118963128,True,True,-0.011912840652549397,-0.00014849194129960684,0.0
2025-04-15,2,3192,3203,2025-04-15 13:05:00,2025-04-15 14:00:00,2025-04-15 11:30:00,-0.0018506198383058691,-0.0026506998489741356,0.014744503554982991,0.014615213253829293,0.0008508149251407848,0.2183669999816409,0.363469610037125,0.36464938121252033,0.644986567663905,0.5106774122228867,0.32334530784207255,True,False,-0.0017400571179661995,-0.00011056272033936269,0.0
2025-04-15,3,3204,3215,2025-04-15 14:05:00,2025-04-15 15:00:00,2025-04-15 14:00:00,0.006298040728245158,0.006298040728245158,0.015153140465102327,0.014266156828571153,0.0009864420852981229,0.1878367029934012,0.35807495630433384,0.3698642397262668,0.5058891686204828,0.6803133910645058,0.42111243426634004,True,False,0.005969711491320476,0.0003283292369242576,0.0
2025-04-16,0,3216,3227,2025-04-16 09:35:00,2025-04-16 10:30:00,2025-04-15 15:00:00,-0.007360998692008445,-0.007761038697342578,0.039104304295628445,0.02888120239319468,0.011655454202423227,0.28045799969039437,0.5360082493628391,0.5466810221224893,0.8152256545835638,0.6482744593209965,0.1809274726699748,True,True,-0.01718337445428464,0.009822375762275928,0.010301114271418246
