policy,year,basis,cagr,mdd,terminal_nav,calmar,completed_trades,mean_trade_log_bp,win_rate,exposure_fraction,turnover_sides,terminal_filled_position,year_return,year_mdd,year_completed_trades,year_mean_trade_log_bp
BC,2022,original_zero_cost,0.4280840988707664,0.2275687448978848,2.0394241934475232,1.881119918567277,348,19.51443825516745,0.3160919540229885,0.9936855670103092,698,1,0.4892712931797866,0.2275687448978849,156,25.043752762004853
BC,2022,uniform_fee_proxy,0.3317938248901964,0.2395263563852573,1.773674792015658,1.3852079992255002,348,15.514038201826112,0.3045977011494253,0.9936855670103092,698,1,0.399172085946986,0.2395263563852575,156,21.043352708663512
ABC,2022,original_zero_cost,0.4049802238549267,0.2467277948910353,1.9739694294234331,1.6414049500737518,267,24.757080834020574,0.3333333333333333,0.9320017182130584,536,1,0.4786113843720325,0.2467277948910351,116,34.31307447329268
ABC,2022,uniform_fee_proxy,0.3316487903250655,0.2560116199640524,1.7732885007742103,1.2954442863633833,267,20.75668078067924,0.3295880149812734,0.9320017182130584,536,1,0.4115646258883853,0.2560116199640524,116,30.312674419951342
channel_only,2022,original_zero_cost,0.2839342457824613,0.2345230453580495,1.64848714749298,1.2106880385634384,142,33.860957112999216,0.3873239436619718,0.8407216494845361,286,1,0.3820328627064925,0.2345230453580499,67,47.77968825809629
channel_only,2022,uniform_fee_proxy,0.2477302903943406,0.2397111479349338,1.5568308775675468,1.0334533563769983,142,29.86055705965789,0.3873239436619718,0.8407216494845361,286,1,0.3454826870428848,0.2397111479349339,67,43.77928820475495
F,2023,original_zero_cost,0.5909152089220946,0.1432380473341723,4.026624215181558,4.125406761120513,2103,6.535967503294929,0.3780313837375178,1.0,4208,1,0.3153381142994245,0.118758728359142,712,3.83474879356216
F,2023,uniform_fee_proxy,0.2017130293696016,0.1801411586881637,1.7354108559941448,1.119749816413584,2103,2.535567449953596,0.3590109367570138,1.0,4208,1,-0.0106773184792928,0.1801411586881629,712,-0.165651259779173
A,2023,original_zero_cost,0.6286928055701952,0.1094052366892625,4.320336098947728,5.746459900780032,1393,10.51021234858116,0.3898061737257717,0.6784731774415406,2787,1,0.3922153848323851,0.1010033433966112,492,6.703996764377427
A,2023,uniform_fee_proxy,0.3525059768294744,0.1190416930902782,2.474101877727965,2.961197607985488,1393,6.509812295239827,0.3711414213926777,0.6784731774415406,2787,1,0.1434804043750591,0.1190416930902784,492,2.703596711036092
B,2023,original_zero_cost,0.6241670415821804,0.1524713784794491,4.284420414327043,4.093666941342101,1995,7.200856583701595,0.3829573934837093,0.9639786795048144,3992,1,0.3451748163460886,0.1176067558175795,676,4.370774259880452
B,2023,uniform_fee_proxy,0.2446260761347344,0.1687978120839868,1.9280428731541197,1.449225396434751,1995,3.200456530360261,0.3654135338345864,0.9639786795048144,3992,1,0.0264404426617299,0.168797812083987,676,0.3703742065391177
AB,2023,original_zero_cost,0.6324257661788788,0.1094052366892621,4.350110843186202,5.780580393744075,1338,10.99357777439081,0.3916292974588938,0.6597604309949564,2677,1,0.4118711100601278,0.0956289648426653,471,7.300556549026321
AB,2023,uniform_fee_proxy,0.3655845694144937,0.1189728587615227,2.546571077590864,3.0728400848742834,1338,6.993177721049478,0.375186846038864,0.6597604309949564,2677,1,0.169407266446957,0.1141296058235613,471,3.3001564956849863
C,2023,original_zero_cost,0.4039962451071388,0.2366849611467852,2.7675650589447134,1.7068944437774896,533,18.58981162477472,0.3208255159474671,1.0,1068,1,0.3528757043446794,0.1354994496535175,172,17.945732730047858
C,2023,uniform_fee_proxy,0.3074981606998727,0.2503030630609656,2.235235363727174,1.228503386812235,533,14.58941157143339,0.3076923076923077,1.0,1068,1,0.2629188598772559,0.1488823386075597,172,13.945332676706526
AC,2023,original_zero_cost,0.3919779059020901,0.2440082028044927,2.6970998572240936,1.6064128229990509,401,24.06598840010416,0.341645885286783,0.9373853736817972,804,1,0.3479246657414193,0.115933262230827,129,22.51686721429473
AC,2023,uniform_fee_proxy,0.3193251143904606,0.2536241858445054,2.2964420412979374,1.2590483566351824,401,20.065588346762823,0.3366583541147132,0.9373853736817972,804,1,0.2801291410553681,0.1271516488626091,129,18.5164671609534
BC,2023,original_zero_cost,0.3995466858335746,0.2275687448978848,2.741335375681917,1.7557186335621802,514,19.09171655914971,0.3268482490272373,0.993494956441999,1030,1,0.3441712540674911,0.1427744913150799,166,18.205528907257115
BC,2023,uniform_fee_proxy,0.3066607722694859,0.2395263563852573,2.2309434378775364,1.2802798693946178,514,15.091316505808376,0.3132295719844358,0.993494956441999,1030,1,0.2578086174085121,0.1594141736802704,166,14.20512885391578
ABC,2023,original_zero_cost,0.3782048217876808,0.2467277948910353,2.6178291238844307,1.5328829163925808,394,23.73640765780752,0.3426395939086294,0.9344910591471802,790,1,0.326175109332402,0.1314524885620643,127,21.59058294876117
ABC,2023,uniform_fee_proxy,0.3074907789602858,0.2560116199640524,2.235197505550288,1.2010813376496812,394,19.73600760446618,0.3375634517766497,0.9344910591471802,790,1,0.2604815880633173,0.1421308302361442,127,17.590182895419836
channel_only,2023,original_zero_cost,0.2533148616513292,0.2345230453580495,1.9687046565694544,1.080127802641271,209,31.511316729846733,0.4066985645933014,0.8431911966987621,420,1,0.1942493209992345,0.1470977652913174,67,26.53148188794147
