year,symbol,field,horizon_minutes,grid_seconds,common_er_rows,common_var_rows,days,mean_er,variance_er,n_times_variance_er,relative_variance_cv2,median_trailing_60m_variance,median_scaled_trailing_variance,unchanged_price_share,nonoverlap_variance
2025,588000.SSE,mid,15,60,9751,3796,243,0.32155011186311,0.07123633693857151,1.0685450540785726,0.6889762467962062,0.03870574312808062,0.5805861469212094,0.47340101869893686,0.07373300746926187
2025,588000.SSE,mid,15,300,9751,3796,243,0.6358876206200396,0.1447762192484846,0.43432865774545387,0.35804407435304114,0.13175682451293624,0.3952704735388087,0.23642019621919116,0.14621691901638023
2025,588000.SSE,mid,30,3,8751,3354,243,0.1083247205795437,0.015416608816657159,9.249965289994295,1.3138134324113484,0.0033143065021158085,1.988583901269485,0.9084312269074011,0.018340936546887805
2025,588000.SSE,mid,30,15,8751,3354,243,0.14147230521437845,0.019488312384033892,2.3385974860840673,0.9737139053298183,0.006330340050842974,0.7596408061011569,0.7278111073020227,0.02268620675228909
2025,588000.SSE,mid,30,30,8751,3354,243,0.17112859506225359,0.02506963633701049,1.5041781802206293,0.856057357697307,0.00959791650024873,0.5758749900149238,0.6139260275016188,0.028446571171447613
2025,588000.SSE,mid,30,60,8751,3354,243,0.21344641569961512,0.034058747006474384,1.0217624101942315,0.7475683976971103,0.016019592194803953,0.4805877658441186,0.4893612158610444,0.03679520290461317
2025,588000.SSE,mid,30,300,8751,3354,243,0.44320268527317863,0.10108313159947073,0.6064987895968244,0.5146049057381988,0.07072245468746882,0.424334728124813,0.26977869195901416,0.10045004722059896
2025,588000.SSE,mid,60,3,5960,642,243,0.07267606092208373,0.005753374606916858,6.90404952830023,1.089280907651255,0.0011967960294768764,1.4361552353722518,0.9106812080536912,0.008015945119146642
2025,588000.SSE,mid,60,15,5960,642,243,0.09652827426290256,0.007794375750704216,1.8706501801690119,0.8365121524245882,0.002200032616342789,0.5280078279222694,0.7333151565995526,0.010282311101866814
2025,588000.SSE,mid,60,30,5960,642,243,0.11788885311549538,0.01110346371181102,1.3324156454173226,0.7989378420507023,0.0034021971837937923,0.40826366205525505,0.6204488255033557,0.01390370465190568
2025,588000.SSE,mid,60,60,5960,642,243,0.14627875101761303,0.01488771774297042,0.8932630645782251,0.6957699043936808,0.005387956205583714,0.3232773723350229,0.4960234899328859,0.017697828559676963
2025,588000.SSE,mid,60,300,5960,642,243,0.3098847381399384,0.05352776985378692,0.642333238245443,0.5574151576197242,0.02390543368673023,0.2868652042407628,0.28032718120805367,0.058705944775063315
2025,588080.SSE,last,15,3,8773,3030,243,0.035411902492088226,0.002812052378779935,0.8436157136339806,2.2424609365478476,0.0005074583551415682,0.15223750654247045,0.6842159656521904,0.0025146166696913765
2025,588080.SSE,last,15,15,8773,3030,243,0.10600153925287864,0.011753049706548245,0.7051829823928947,1.0459868615123724,0.005361037133009417,0.321662227980565,0.5329666780652761,0.011604848240943128
2025,588080.SSE,last,15,30,8773,3030,243,0.1595197013847989,0.020194518185462862,0.6058355455638859,0.7936058124368252,0.012368009397528136,0.3710402819258441,0.4536418556936054,0.020306922893761258
2025,588080.SSE,last,15,60,8773,3030,243,0.23364931007200257,0.03695502238917393,0.554325335837609,0.6769310947286871,0.025861193250053885,0.38791789875080823,0.3628633306736578,0.0377334067844666
2025,588080.SSE,last,15,300,8773,3030,243,0.6009483241465337,0.14254379864577624,0.4276313959373288,0.39470631179859106,0.12887610478498707,0.3866283143549612,0.2096204263079904,0.14386926921559118
2025,588080.SSE,last,30,3,7157,2326,243,0.024054824934106194,0.000993396572804107,0.5960379436824642,1.716794274525617,0.00019952358589062368,0.1197141515343742,0.6860912393460946,0.001269827497889441
2025,588080.SSE,last,30,15,7157,2326,243,0.07366027948166384,0.005748091026556821,0.6897709231868185,1.0593925447268844,0.0020581629987741442,0.2469795598528973,0.5358180802012016,0.005841871379378691
2025,588080.SSE,last,30,30,7157,2326,243,0.11059806196746617,0.010511494290107334,0.63068965740644,0.8593487015978672,0.004766213242886103,0.28597279457316616,0.45625029109030785,0.011942257696151324
2025,588080.SSE,last,30,60,7157,2326,243,0.1587935175525357,0.018121127706544372,0.5436338311963311,0.7186537276913144,0.009813582291825287,0.2944074687547586,0.36420753574588977,0.01967898613174893
2025,588080.SSE,last,30,300,7157,2326,243,0.40789257959278313,0.08823413875553884,0.5294048325332331,0.5303285912653705,0.06315694348608898,0.3789416609165339,0.22160122956546038,0.09144126119389297
2025,588080.SSE,last,60,3,4340,438,225,0.01690414583912635,0.00025027153558296116,0.30032584269955337,0.8758404452428606,6.936278548908605e-05,0.08323534258690327,0.6865407066052228,0.0002889972106536693
2025,588080.SSE,last,60,15,4340,438,225,0.052217117820107115,0.0020904063522810606,0.5016975245474545,0.7666637389880192,0.0007172232388419847,0.17213357732207635,0.5356259600614439,0.002424348746274118
2025,588080.SSE,last,60,30,4340,438,225,0.07847031617666803,0.004246783712850911,0.5096140455421093,0.6896827092447639,0.001615577896122117,0.19386934753465404,0.4550441628264209,0.004643815667202832
2025,588080.SSE,last,60,60,4340,438,225,0.11275247439067011,0.008041033141569499,0.48246198849416994,0.6324987758472544,0.0032992649981917893,0.19795589989150736,0.3623540706605223,0.008955672671114414
2025,588080.SSE,last,60,300,4340,438,225,0.2860660096919848,0.04537675216738375,0.5445210260086051,0.5544991591884366,0.020160554585579638,0.24192665502695565,0.2210637480798771,0.046937574982908424
2025,588080.SSE,mid,15,3,8684,3000,243,0.1515484501123911,0.029800741708227357,8.940222512468209,1.2975499191233402,0.007037493678827565,2.1112481036482693,0.8841025641025642,0.03216767067652134
2025,588080.SSE,mid,15,15,8684,3000,243,0.2132025852913361,0.04115645988211229,2.4693875929267377,0.9054262432490211,0.015474477467878209,0.9284686480726925,0.696453247351451,0.043520311826516965
2025,588080.SSE,mid,15,30,8684,3000,243,0.25665957173621073,0.05085094818343275,1.5255284455029825,0.7719410295681686,0.02394118124450769,0.7182354373352308,0.5767311530784586,0.05253454974855539
2025,588080.SSE,mid,15,60,8684,3000,243,0.314470756894444,0.0654028751600671,0.9810431274010065,0.6613575392621214,0.037539464229037825,0.5630919634355673,0.4444956241363427,0.06740671156887598
2025,588080.SSE,mid,15,300,8684,3000,243,0.6286245671124202,0.14287421127576572,0.42862263382729715,0.3615523151320489,0.13032489362095284,0.3909746808628585,0.21449408874558573,0.14373800536006648
2025,588080.SSE,mid,30,3,7153,2320,243,0.09522473134539586,0.010082732659667224,6.049639595800335,1.1119333087403673,0.0026483203446398956,1.5889922067839375,0.8842126846544573,0.010868887963311369
2025,588080.SSE,mid,30,15,7153,2320,243,0.13806944567459814,0.0161186822970567,1.934241875646804,0.8455404190727775,0.006026421155401805,0.7231705386482166,0.6963360361619833,0.017867541004508124
2025,588080.SSE,mid,30,30,7153,2320,243,0.16904821194522324,0.02224661921551255,1.334797152930753,0.7784717521296148,0.009491436074888301,0.569486164493298,0.5763246190409619,0.0244238085840572
2025,588080.SSE,mid,30,60,7153,2320,243,0.20976789704076498,0.03143760232830247,0.9431280698490742,0.7144492214655143,0.015014053396919667,0.45042160190759,0.4434037000792208,0.033314741934518464
2025,588080.SSE,mid,30,300,7153,2320,243,0.4362573676937042,0.09507011160998823,0.5704206696599293,0.49952641030337264,0.06667796036723447,0.40006776220340684,0.23034624167016168,0.10067964271490969
2025,588080.SSE,mid,60,3,4342,438,225,0.06405664184409408,0.0033550871909702167,4.0261046291642595,0.8176651288770209,0.0008875654357131855,1.0650785228558226,0.8807247044372792,0.0032881810905095858
2025,588080.SSE,mid,60,15,4342,438,225,0.09448784896832546,0.006223388658267902,1.4936132779842963,0.6970677643769281,0.002044499406324866,0.49067985751796783,0.6883588592046676,0.0064238374470564205
2025,588080.SSE,mid,60,30,4342,438,225,0.11618394996441503,0.008718066132072296,1.0461679358486755,0.6458443794968866,0.0032348525947382186,0.3881823113685862,0.567200214954706,0.00921303579767864
2025,588080.SSE,mid,60,60,4342,438,225,0.14439241834987618,0.012893550441507001,0.7736130264904201,0.6184203086533655,0.005262686152904475,0.3157611691742685,0.4328688776293567,0.014453485192580476
2025,588080.SSE,mid,60,300,4342,438,225,0.30701171899206814,0.05067242475612798,0.6080690970735357,0.5376031191837475,0.022995815787266834,0.275949789447202,0.22771764163979732,0.052945688213595216
