view,scenario,cost_bps,year,mdd_improvement_vs_baseline,mdd_improvement_vs_matched
3,literal_publication,0,2025,0.09378792705445477,0.03831387805517622
3,literal_publication,1,2021,0.034161538316349965,-0.0047068492220691815
3,literal_publication,1,2022,0.0506423233956966,0.01123766017727551
3,literal_publication,1,2023,0.05409383304221821,0.0026676929348340983
3,literal_publication,1,2024,0.06241048553282991,-0.0002838270844839341
3,literal_publication,1,2025,0.09414001855201254,0.03757742397465447
3,literal_publication,3,2021,0.037365623383170427,-0.004632527244505691
3,literal_publication,3,2022,0.0455910050954236,0.004851161849929231
3,literal_publication,3,2023,0.05540592392690569,0.002325071901120468
3,literal_publication,3,2024,0.057167553560468154,-0.006228555078812259
3,literal_publication,3,2025,0.09475786834248967,0.03614221389058586
3,literal_publication,5,2021,0.04035983773198465,-0.004558778089811255
3,literal_publication,5,2022,0.044191851503771196,0.001703100828396198
3,literal_publication,5,2023,0.056611695227038294,0.0019976724836280324
3,literal_publication,5,2024,0.05151602934783184,-0.012515335603820454
3,literal_publication,5,2025,0.10195609772168468,0.04079374178648365
4,delay_1m,0,2021,0.01651695181706196,-0.0035832261574200164
4,delay_1m,0,2022,-0.03340540657907856,-0.05270786207502269
4,delay_1m,0,2023,0.01724181099205495,-0.004326447935184455
4,delay_1m,0,2024,0.0053807209807243545,-0.009287206803141032
4,delay_1m,0,2025,0.0346110307284771,0.01021342750181467
4,delay_1m,1,2021,0.02004574660274816,-0.003219502177708153
4,delay_1m,1,2022,-0.040715828581788904,-0.06238114850412585
4,delay_1m,1,2023,0.054808487240028625,0.02354471329988625
4,delay_1m,1,2024,0.00611516652824988,-0.010544660732676542
4,delay_1m,1,2025,0.0417743328603926,0.01580577389917741
4,delay_1m,3,2021,0.034685908928883125,0.004364840005364717
4,delay_1m,3,2022,0.03156683855267978,-0.005904071626654017
4,delay_1m,3,2023,0.07020442185209869,0.02028260705290036
4,delay_1m,3,2024,-0.0050304768249303244,-0.02646734625142308
4,delay_1m,3,2025,0.05332389567753726,0.02433045168829992
4,delay_1m,5,2021,0.04984170127948756,0.006411849105292244
4,delay_1m,5,2022,0.054451179924112414,0.004236092719109574
4,delay_1m,5,2023,0.08013021792429126,0.018262422476612195
4,delay_1m,5,2024,0.01910832568533663,-0.011825911026586533
4,delay_1m,5,2025,0.100019673163292,0.05406607686353235
4,delay_1m_observed,0,2021,0.01651695181706196,-0.0035832261574200164
4,delay_1m_observed,0,2022,-0.03340540657907856,-0.05270993000497996
4,delay_1m_observed,0,2023,0.01724181099205495,-0.004326447935184455
4,delay_1m_observed,0,2024,0.0053807209807243545,-0.009287206803141032
4,delay_1m_observed,0,2025,0.0346110307284771,0.01021342750181467
4,delay_1m_observed,1,2021,0.02004574660274816,-0.003219502177708153
4,delay_1m_observed,1,2022,-0.04051027706412902,-0.06220696941060333
4,delay_1m_observed,1,2023,0.054808487240028625,0.02354471329988625
4,delay_1m_observed,1,2024,0.00611516652824988,-0.010544660732676542
4,delay_1m_observed,1,2025,0.0417743328603926,0.01580577389917741
4,delay_1m_observed,3,2021,0.034685908928883125,0.004364840005364717
4,delay_1m_observed,3,2022,0.031605318629847,-0.00589083784478403
4,delay_1m_observed,3,2023,0.07020442185209869,0.02028260705290036
4,delay_1m_observed,3,2024,-0.0050304768249303244,-0.02646734625142308
4,delay_1m_observed,3,2025,0.05332389567753726,0.02433045168829992
4,delay_1m_observed,5,2021,0.04984170127948756,0.006411849105292244
4,delay_1m_observed,5,2022,0.05447846001271256,0.004243829433318025
4,delay_1m_observed,5,2023,0.08013021792429126,0.018262422476612195
4,delay_1m_observed,5,2024,0.01910832568533663,-0.011825911026586533
4,delay_1m_observed,5,2025,0.100019673163292,0.05406607686353235
4,legacy_on_minute,0,2021,0.006038422331092641,-0.012040292466274763
4,legacy_on_minute,0,2022,-0.004596314112180561,-0.025248879520226905
4,legacy_on_minute,0,2023,0.035676914535562015,0.010135722331862856
4,legacy_on_minute,0,2024,0.012677081880624413,-0.006609056385296769
4,legacy_on_minute,0,2025,0.026442581734430606,0.0028206743911951965
4,legacy_on_minute,1,2021,0.019554431747419526,-0.0018358350368595094
4,legacy_on_minute,1,2022,-0.004992583837574116,-0.02756169907172512
4,legacy_on_minute,1,2023,0.0665699253013188,0.032111305149924385
4,legacy_on_minute,1,2024,0.014121681751651474,-0.005913517348323599
4,legacy_on_minute,1,2025,0.02333460019463851,-0.000963211170381284
4,legacy_on_minute,3,2021,0.03121536773043021,0.0029536063994810846
