view,scenario,cost_bps,policy,alpha,cagr,total_log_return,mdd,daily_mdd,longest_underwater_days,mean_exposure,turnover,cost_log,daily_sharpe
2,delay_1m_observed,3,matched_constant,0.8308282050400523,0.008313532880109968,0.041395829043881366,0.43496234140523105,0.42674072561510695,569,0.8308224923677767,5676.218296833637,1.7032900046039379,0.03958292647920436
2,delay_1m_observed,5,baseline,1.0,-0.2316843531431963,-1.3177731587987755,0.7392184235091035,0.7344459293675206,1211,0.9999931241233257,6832.0,3.4177088892711316,-1.0238680283605035
2,delay_1m_observed,5,slow_conflict_half,1.0,-0.16590636069304424,-0.9070480278977502,0.6112680814695935,0.6049883011253194,1211,0.8308224923677769,5661.0,2.8316431971246523,-0.8167711277451
2,delay_1m_observed,5,constant_075,0.75,-0.17930345847638546,-0.9880092920605665,0.634954630822983,0.6299555837051172,1211,0.7499948430924943,5124.0,2.562961089914835,-1.0235430504612077
2,delay_1m_observed,5,constant_050,0.5,-0.1233889126285911,-0.6584592146192876,0.4891140327425624,0.48446048169621353,1211,0.4999965620616629,3416.0,1.7084270798554662,-1.0232181763591641
2,delay_1m_observed,5,matched_constant,0.8308282050400523,-0.1966144611934972,-1.0946027860543148,0.6725607667550638,0.667589799935566,1211,0.8308224923677767,5676.218296833637,2.839288619702134,-1.0236481086251277
2,literal_publication,0,baseline,1.0,-0.2664804970004596,-1.5495054639807604,0.8239480450706572,0.8212131155681762,1200,0.9999965620616629,1272.0,0.0,-1.1316437462373772
2,literal_publication,0,slow_conflict_half,1.0,-0.20733541381056372,-1.161775575294238,0.7314027968628408,0.7289365747933466,1195,0.8316905717979043,1072.0,0.0,-1.037008249933022
2,literal_publication,0,constant_075,0.75,-0.20739145681285978,-1.1621290979855703,0.7282117739900051,0.7250512546321435,1200,0.7499974215462472,954.0,0.0,-1.1316437462373772
2,literal_publication,0,constant_050,0.5,-0.14354246865385065,-0.7747527319903802,0.5804145439492179,0.5771680186742921,1200,0.49999828103083144,636.0,0.0,-1.1316437462373772
2,literal_publication,0,matched_constant,0.8316934311086358,-0.22720595601474627,-1.2887135158597371,0.7641670672023133,0.7611240227819462,1200,0.8316905717979041,1057.914044370185,0.0,-1.131643746237377
2,literal_publication,1,baseline,1.0,-0.28490768671676714,-1.6767181756750147,0.843764074408407,0.8415589776792799,1200,0.9999965620616629,1272.0,0.12721271169425408,-1.2244139946817765
2,literal_publication,1,slow_conflict_half,1.0,-0.22415056659703056,-1.2689840337244398,0.7551285601950612,0.7522398868602068,1200,0.8316905717979043,1072.0,0.10720845843020178,-1.1327009095608742
2,literal_publication,1,constant_075,0.75,-0.22237217991302402,-1.2575362480753065,0.7514941304251633,0.7488681991916959,1200,0.7499974215462472,954.0,0.09540715008973663,-1.224411677792834
2,literal_publication,1,constant_050,0.5,-0.15436815200237544,-0.8383559097021462,0.6047319156453035,0.6019522899214024,1200,0.49999828103083144,636.0,0.06360317771176588,-1.2244093610582647
2,literal_publication,1,matched_constant,0.8316934311086358,-0.2433865140961241,-1.3945137129558995,0.7864627721458491,0.7839591370402961,1200,0.8316905717979041,1057.914044370185,0.10580019709616217,-1.2244124348742818
2,literal_publication,3,baseline,1.0,-0.3203953044666597,-1.9312198997393473,0.8769646580613869,0.8755771626734499,1200,0.9999965620616629,1272.0,0.3817144357585879,-1.4098170671511598
2,literal_publication,3,slow_conflict_half,1.0,-0.25672586366383626,-1.483451717916085,0.7995690146765622,0.7948650098504946,1200,0.8316905717979043,1072.0,0.3216761426218476,-1.3240171470623396
2,literal_publication,3,constant_075,0.75,-0.2514959709709209,-1.4483934616628018,0.7922547191801597,0.7905000446025107,1200,0.7499974215462472,954.0,0.2862643636772321,-1.4097962371149075
2,literal_publication,3,constant_050,0.5,-0.17561388036856068,-0.9655813352089168,0.6492266304665627,0.6472541918089599,1200,0.49999828103083144,636.0,0.1908286032185364,-1.4097754112401821
2,literal_publication,3,matched_constant,0.8316934311086358,-0.2747460257279834,-1.606166880653705,0.8249386123261131,0.8232982000290603,1200,0.8316905717979041,1057.914044370185,0.3174533647939679,-1.4098030433656135
2,literal_publication,5,baseline,1.0,-0.3541349417502157,-2.1858234258896694,0.9031192877798355,0.9023009040895209,1200,0.9999965620616629,1272.0,0.6363179619089083,-1.5949796378566998
2,literal_publication,5,slow_conflict_half,1.0,-0.2879430792028329,-1.6979871291287312,0.8359546015910199,0.8326245212585934,1200,0.8316905717979043,1072.0,0.5362115538344936,-1.5151867055094412
2,literal_publication,5,constant_075,0.75,-0.27953726387706573,-1.6393079217428703,0.8263389880253466,0.825239801516825,1200,0.7499974215462472,954.0,0.4771788237573008,-1.5949218590930578
2,literal_publication,5,constant_050,0.5,-0.19632991752152035,-1.092832195969058,0.688720082209236,0.6874078306234283,1200,0.49999828103083144,636.0,0.3180794639786778,-1.5948640995531276
2,literal_publication,5,matched_constant,0.8316934311086358,-0.3048155621414965,-1.817890452051202,0.8564912408200153,0.8554836503432454,1200,0.8316905717979041,1057.914044370185,0.529176936191465,-1.5949407375597835
3,legacy_on_minute,0,baseline,1.0,0.5681173322301052,2.2493787417851623,0.17807076875201855,0.15578619471912047,144,0.9999965620616629,6728.0,0.0,1.8222447225699951
3,legacy_on_minute,0,slow_conflict_half,1.0,0.49938791402608473,2.0252848375708936,0.14699404788328185,0.1216585726310402,87,0.8311714431089964,5573.0,0.0,1.8859212825787126
3,legacy_on_minute,0,constant_075,0.75,0.401309016096536,1.6870340563388717,0.13677140232761423,0.11927700139522768,144,0.7499974215462472,5046.0,0.0,1.822244722569995
3,legacy_on_minute,0,constant_050,0.5,0.25224491703105156,1.1246893708925811,0.09339687224895289,0.08118891752391258,144,0.49999828103083144,3364.0,0.0,1.8222447225699951
3,legacy_on_minute,0,matched_constant,0.8311743006349894,0.45342837255310336,1.8696258025664947,0.15040379536353654,0.13130131036393572,144,0.8311714431089966,5592.140694672208,0.0,1.822244722569995
3,legacy_on_minute,1,baseline,1.0,0.37067359277012246,1.5765114628151504,0.23860939878982845,0.2302892684000599,337,0.9999965620616629,6728.0,0.6728672789700121,1.2634123027291235
3,legacy_on_minute,1,slow_conflict_half,1.0,0.341231187164591,1.4679399425963426,0.1758392225556149,0.14978615050078736,246,0.8311714431089964,5573.0,0.5573448949745519,1.3536730071414238
