view,scenario,cost_bps,rank,phase,mdd,peak,start,end,days,minutes,baseline_net_log,slow_conflict_half_net_log,constant_075_net_log,constant_050_net_log,matched_constant_net_log,wins_removed_log,losses_avoided_log,gross_delta_log,slow_vs_matched_log
0,delay_1m,0,6,recovery,0.11647874757356727,2021-03-09 10:00:00,2021-05-06 10:33:00,2021-05-31 10:21:00,18,4068,0.12545635493673934,0.12264015134898854,0.09409226620255451,0.06272817746836967,0.10426359292923222,0.15266925072443938,0.14985304713668857,-0.0028162035877508096,0.018376558419756314
0,delay_1m,0,7,decline,0.11285694021128079,2022-01-11 11:10:00,2022-01-11 11:10:00,2022-02-17 09:54:00,23,5204,-0.11974902468466464,-0.07941047929272882,-0.08981176851349848,-0.05987451234233232,-0.09952037558950427,0.21359149789954346,0.2539300432914793,0.04033854539193582,0.020109896296775454
0,delay_1m,0,7,recovery,0.11285694021128079,2022-01-11 11:10:00,2022-02-17 09:54:00,2022-03-09 13:34:00,15,3490,0.11992275063553581,0.10399439737802751,0.08994206297665186,0.059961375317767907,0.09966475481869524,0.16405402543631897,0.14812567217881067,-0.0159283532575083,0.00432964255933227
0,delay_1m,0,8,decline,0.1122479289324357,2022-06-09 13:57:00,2022-06-09 13:57:00,2022-06-23 10:53:00,11,2306,-0.11906277422157174,-0.12018055482775214,-0.08929708066617881,-0.05953138711078587,-0.09895005024434742,0.10699494049052216,0.10587715988434176,-0.0011177806061803963,-0.021230504583404725
0,delay_1m,0,8,recovery,0.1122479289324357,2022-06-09 13:57:00,2022-06-23 10:53:00,2022-07-21 09:40:00,21,4727,0.12226093267826954,0.07951853882257787,0.09169569950870216,0.06113046633913477,0.10160795857924575,0.25428406000940784,0.21154166615371617,-0.042742393855691674,-0.02208941975666788
0,delay_1m,0,9,decline,0.10673128497554678,2023-02-21 09:51:00,2023-02-21 09:51:00,2023-03-14 11:25:00,16,3694,-0.11286783068941997,-0.10157383600699843,-0.08465087301706498,-0.056433915344709984,-0.09380158988152604,0.10710931260459144,0.11840330728701298,0.011293994682421538,-0.007772246125472393
0,delay_1m,0,9,recovery,0.10673128497554678,2023-02-21 09:51:00,2023-03-14 11:25:00,2023-04-06 10:24:00,17,3779,0.11423975021522725,0.11927605859101531,0.08567981266142044,0.05711987510761363,0.09494175738473912,0.19567972940147937,0.20071603777726743,0.005036308375788057,0.024334301206276193
0,delay_1m,0,10,decline,0.10400026726406991,2024-08-05 09:30:00,2024-08-05 09:30:00,2024-08-29 09:51:00,19,4341,-0.10981516429304339,-0.07551808358949108,-0.08236137321978254,-0.054907582146521694,-0.09126459630586345,0.15487379091168796,0.18917087161524027,0.03429708070355231,0.01574651271637237
0,delay_1m,0,10,recovery,0.10400026726406991,2024-08-05 09:30:00,2024-08-29 09:51:00,2024-09-26 09:41:00,19,4310,0.11000173264438029,0.07997638182346245,0.08250129948328522,0.055000866322190145,0.09141964852818471,0.21643301240025048,0.18640766157933264,-0.03002535082091784,-0.01144326670472226
0,delay_1m,3,1,decline,0.2609537163242864,2024-11-29 13:02:00,2024-11-29 13:02:00,2025-08-15 13:14:00,174,41532,-0.3023947298520578,-0.2817837760759393,-0.2267786201912904,-0.15117413098671087,-0.2512995372809954,2.0725055109219586,2.043886973849619,-0.028618537072339745,-0.030484238794943885
0,delay_1m,3,1,recovery,0.2609537163242864,2024-11-29 13:02:00,2025-08-15 13:14:00,2025-12-31 14:55:00,93,22181,0.14001934399561464,0.14584232650825157,0.10502306116784622,0.07002107508577131,0.11637292792409624,1.8107296728334212,1.7892374372394886,-0.02149223559393265,0.02946939858415533
0,delay_1m,3,2,decline,0.2501233109908542,2022-05-13 09:30:00,2022-05-13 09:30:00,2023-10-20 13:00:00,351,84120,-0.2878465006238222,-0.18901349524894417,-0.21584998729872173,-0.14387673740626084,-0.23919579892387294,4.2026771589461935,4.195249246755208,-0.007427912190985708,0.05018230367492876
