table,cell,start,end,days,pnl_log
short_long_eff,00,2023-09-08,2023-09-11,2,-0.0220272844982345
short_long_eff,10,2023-09-12,2023-09-14,3,0.0225570386220031
short_long_eff,00,2023-09-15,2023-09-19,3,-0.027640458836767696
short_long_eff,10,2023-09-20,2023-09-20,1,-0.000902256805574
short_long_eff,00,2023-09-21,2023-09-21,1,-0.009103787596024
short_long_eff,10,2023-09-22,2023-09-25,2,0.0004957731761319004
short_long_eff,01,2023-09-26,2023-09-27,2,-0.018965144703442398
short_long_eff,11,2023-09-28,2023-09-28,1,-0.0058306278012443
short_long_eff,01,2023-10-09,2023-10-10,2,-0.0029194640632935
short_long_eff,11,2023-10-11,2023-10-11,1,0.0061499087455296
short_long_eff,00,2023-10-12,2023-10-12,1,0.0020537237638801
short_long_eff,10,2023-10-13,2023-10-18,4,-0.0284379493508467
short_long_eff,00,2023-10-19,2023-10-20,2,-0.0060452140346584
short_long_eff,11,2023-10-23,2023-10-23,1,0.0214155591881963
short_long_eff,10,2023-10-24,2023-10-24,1,0.008639913644821
short_long_eff,00,2023-10-25,2023-10-26,2,0.0287545558423309
short_long_eff,10,2023-10-27,2023-10-30,2,-0.0033417172522954
short_long_eff,00,2023-10-31,2023-11-01,2,-0.0073489548480645
short_long_eff,10,2023-11-02,2023-11-06,3,0.0079176738250921
short_long_eff,00,2023-11-07,2023-11-07,1,-0.0043444057419698
short_long_eff,10,2023-11-08,2023-11-08,1,0.0167935180088866
short_long_eff,00,2023-11-09,2023-11-10,2,-0.0085222923081908
short_long_eff,10,2023-11-13,2023-11-14,2,0.0003447900310079
short_long_eff,00,2023-11-15,2023-11-15,1,0.0052049248499146
short_long_eff,10,2023-11-16,2023-11-16,1,0.01219785863101
short_long_eff,00,2023-11-17,2023-11-17,1,-0.0075498054675221
short_long_eff,01,2023-11-20,2023-11-20,1,-0.0018626029869909
short_long_eff,10,2023-11-21,2023-11-24,4,0.0106682588797144
short_long_eff,00,2023-11-27,2023-11-28,2,-0.009818459785043799
short_long_eff,10,2023-11-29,2023-11-29,1,-0.004879407559778
short_long_eff,00,2023-11-30,2023-12-01,2,-0.010071728709525
short_long_eff,10,2023-12-04,2023-12-04,1,0.0018378488130798
short_long_eff,11,2023-12-05,2023-12-05,1,0.0148015504746695
short_long_eff,01,2023-12-06,2023-12-07,2,-0.013107295725592199
short_long_eff,10,2023-12-08,2023-12-11,2,0.027489366254446902
short_long_eff,11,2023-12-12,2023-12-13,2,-0.0022402787654628
short_long_eff,00,2023-12-14,2023-12-14,1,-0.0153915411295504
short_long_eff,11,2023-12-15,2023-12-18,2,0.0027998618607817
short_long_eff,01,2023-12-19,2023-12-19,1,0.0072020363165152
short_long_eff,11,2023-12-20,2023-12-20,1,0.0028466266800537
short_long_eff,10,2023-12-21,2023-12-21,1,0.0003190338774582
short_long_eff,00,2023-12-22,2023-12-25,2,-0.0067917006981148
short_long_eff,11,2023-12-26,2023-12-26,1,0.0084947640922855
short_long_eff,00,2023-12-27,2023-12-27,1,-0.0025635973702564
short_long_eff,10,2023-12-28,2023-12-28,1,0.0200921352883243
short_long_eff,00,2023-12-29,2023-12-29,1,-0.0121911807208895
short_long_eff,10,2024-01-02,2024-01-04,3,0.013112077089980299
short_long_eff,11,2024-01-05,2024-01-08,2,0.0277796387705146
short_long_eff,01,2024-01-09,2024-01-10,2,0.0046542801788149995
short_long_eff,11,2024-01-11,2024-01-12,2,-0.019368706435191202
short_long_eff,01,2024-01-15,2024-01-16,2,0.0141026695644736
short_long_eff,11,2024-01-17,2024-01-17,1,0.0081470313621586
short_long_eff,01,2024-01-18,2024-01-19,2,-0.0143786562373686
short_long_eff,11,2024-01-22,2024-01-22,1,0.0183804175760697
short_long_eff,01,2024-01-23,2024-01-24,2,0.0166427312659019
short_long_eff,11,2024-01-25,2024-01-31,5,0.0852633743907654
short_long_eff,01,2024-02-01,2024-02-05,3,0.05550454920666632
short_long_eff,11,2024-02-06,2024-02-06,1,0.0324736294417007
short_long_eff,10,2024-02-07,2024-02-07,1,0.0178298034661256
short_long_eff,00,2024-02-08,2024-02-08,1,0.032262730512758
short_long_eff,10,2024-02-19,2024-02-19,1,-0.0009661873480677
short_long_eff,00,2024-02-20,2024-02-26,5,-0.0316460962557846
short_long_eff,10,2024-02-27,2024-02-29,3,0.07380015356534479
short_long_eff,00,2024-03-01,2024-03-01,1,0.0009725388959941
short_long_eff,01,2024-03-04,2024-03-06,3,-0.002494453347833799
short_long_eff,11,2024-03-07,2024-03-11,3,0.0170010163296631
short_long_eff,01,2024-03-12,2024-03-13,2,-0.004466684028454199
short_long_eff,11,2024-03-14,2024-03-14,1,0.0139177631174688
short_long_eff,01,2024-03-15,2024-03-15,1,0.0090489837123426
short_long_eff,11,2024-03-18,2024-03-19,2,0.0181907280321579
short_long_eff,01,2024-03-20,2024-03-20,1,-0.0067630656214696
short_long_eff,00,2024-03-21,2024-03-21,1,0.0106475823627207
short_long_eff,10,2024-03-22,2024-03-25,2,0.0177662095191854
short_long_eff,00,2024-03-26,2024-03-26,1,-0.003676988449413
short_long_eff,10,2024-03-27,2024-03-27,1,0.0109842499001407
short_long_eff,11,2024-03-28,2024-03-28,1,0.0157432710062872
short_long_eff,01,2024-03-29,2024-03-29,1,0.015811349272756
short_long_eff,10,2024-04-01,2024-04-01,1,0.0112844629921824
short_long_eff,11,2024-04-02,2024-04-10,5,-0.005735572686348402
short_long_eff,01,2024-04-11,2024-04-12,2,-0.009054910322463399
short_long_eff,11,2024-04-15,2024-04-17,3,0.002855353074975799
short_long_eff,01,2024-04-18,2024-04-18,1,-0.0063101128197873
short_long_eff,11,2024-04-19,2024-04-19,1,0.0142691984147379
short_long_eff,01,2024-04-22,2024-04-23,2,-0.0006168641471348997
short_long_eff,11,2024-04-24,2024-04-24,1,-0.0057599891411851
short_long_eff,01,2024-04-25,2024-04-25,1,0.0017250729194867
short_long_eff,10,2024-04-26,2024-05-08,6,0.011715792578261905
short_long_eff,11,2024-05-09,2024-05-09,1,0.0087226075599342
short_long_eff,10,2024-05-10,2024-05-10,1,-0.0184241570482649
short_long_eff,00,2024-05-13,2024-05-14,2,-0.025399651929923203
short_long_eff,10,2024-05-15,2024-05-15,1,0.0084362971096227
short_long_eff,00,2024-05-16,2024-05-16,1,-0.0051489128004299
short_long_eff,10,2024-05-17,2024-05-17,1,-0.0010117663985238
short_long_eff,00,2024-05-20,2024-05-20,1,0.005281148733106
short_long_eff,10,2024-05-21,2024-05-27,5,0.0564624564866457
short_long_eff,00,2024-05-28,2024-05-29,2,0.0053157173240925
short_long_eff,11,2024-05-30,2024-05-30,1,-0.00358904963025
short_long_eff,00,2024-05-31,2024-05-31,1,-0.0056716165069533
short_long_eff,10,2024-06-03,2024-06-03,1,0.0053357374513543
short_long_eff,00,2024-06-04,2024-06-05,2,0.005344709435518501
short_long_eff,11,2024-06-06,2024-06-06,1,-0.0115773951040153
short_long_eff,00,2024-06-07,2024-06-07,1,-0.0093566474664375
short_long_eff,10,2024-06-11,2024-06-11,1,0.0236728325378623
short_long_eff,00,2024-06-12,2024-06-18,5,-0.017449839057666793
short_long_eff,10,2024-06-19,2024-06-19,1,-0.0048235410783498
short_long_eff,00,2024-06-20,2024-06-21,2,0.024945647328624598
short_long_eff,10,2024-06-24,2024-06-27,4,0.0217252301031803
short_long_eff,00,2024-06-28,2024-07-01,2,0.023435817722424302
short_long_eff,11,2024-07-02,2024-07-02,1,0.0046917442433237
short_long_eff,01,2024-07-03,2024-07-03,1,0.0081440385225385
short_long_eff,11,2024-07-04,2024-07-09,4,0.029720429810992672
short_long_eff,01,2024-07-10,2024-07-10,1,0.0011832536728885
short_long_eff,11,2024-07-11,2024-07-11,1,-0.0085806935879222
short_long_eff,00,2024-07-12,2024-07-12,1,-0.0160728193459423
short_long_eff,01,2024-07-15,2024-07-15,1,0.0032325219553734
short_long_eff,10,2024-07-16,2024-07-16,1,0.0067590130630228
short_long_eff,00,2024-07-17,2024-07-18,2,0.0166884588505447
short_long_eff,10,2024-07-19,2024-07-19,1,0.0083768935604799
short_long_eff,00,2024-07-22,2024-07-22,1,-0.0049313793978777
short_long_eff,10,2024-07-23,2024-07-24,2,0.0116743866160237
short_long_eff,00,2024-07-25,2024-07-26,2,-0.0286264412374155
short_long_eff,10,2024-07-29,2024-07-29,1,0.0088206235660057
short_long_eff,00,2024-07-30,2024-07-30,1,0.0093454758487508
short_long_eff,11,2024-07-31,2024-07-31,1,0.0452381631411732
short_long_eff,01,2024-08-01,2024-08-01,1,-0.0030207024916167
short_long_eff,10,2024-08-02,2024-08-07,4,-0.0164930552208283
short_long_eff,00,2024-08-08,2024-08-13,4,-0.022196958083464603
short_long_eff,10,2024-08-14,2024-08-14,1,-0.0036504813379807
short_long_eff,00,2024-08-15,2024-08-15,1,0.0193943050146829
short_long_eff,01,2024-08-16,2024-08-19,2,-0.0008885745809345995
short_long_eff,10,2024-08-20,2024-08-20,1,0.0127486682500827
short_long_eff,00,2024-08-21,2024-08-21,1,0.0006445617850269
short_long_eff,10,2024-08-22,2024-08-22,1,-0.0101927742528207
short_long_eff,01,2024-08-23,2024-08-23,1,0.0099134054952954
short_long_eff,00,2024-08-26,2024-08-26,1,-0.0078048491164187
short_long_eff,11,2024-08-27,2024-08-27,1,-0.0146232413924896
short_long_eff,01,2024-08-28,2024-08-28,1,-0.0100917022400978
short_long_eff,11,2024-08-29,2024-08-29,1,0.005344745872077
short_long_eff,10,2024-08-30,2024-08-30,1,0.0142599158818948
short_long_eff,11,2024-09-02,2024-09-02,1,0.0339910051152253
short_long_eff,01,2024-09-03,2024-09-05,3,-0.0086932035074633
short_long_eff,11,2024-09-06,2024-09-09,2,0.0034657973933392002
short_long_eff,01,2024-09-10,2024-09-10,1,-0.0115910303888697
short_long_eff,11,2024-09-11,2024-09-12,2,0.011445028118626901
short_long_eff,01,2024-09-13,2024-09-13,1,0.0063294115810364
short_long_eff,11,2024-09-18,2024-09-18,1,0.0098294936730754
short_long_eff,01,2024-09-19,2024-09-20,2,-0.0041649666014935
short_long_eff,11,2024-09-23,2024-09-23,1,0.0031411956873715
short_long_eff,10,2024-09-24,2024-09-24,1,-0.0068662755310787
short_long_eff,00,2024-09-25,2024-09-25,1,0.0305370284203642
short_long_eff,10,2024-09-26,2024-09-26,1,0.0203950243960913
short_long_eff,11,2024-09-27,2024-10-08,3,0.20065691833019939
short_long_eff,01,2024-10-09,2024-10-10,2,0.0702681424972436
short_long_eff,11,2024-10-11,2024-10-11,1,0.0234325272898598
short_long_eff,01,2024-10-14,2024-10-14,1,-0.0046477152116856
short_long_eff,11,2024-10-15,2024-10-16,2,0.046758989354188
short_long_eff,01,2024-10-17,2024-10-17,1,0.0188458025847777
short_long_eff,11,2024-10-18,2024-10-18,1,0.0921894693744539
short_long_eff,01,2024-10-21,2024-10-29,7,0.006252715063499701
short_long_eff,11,2024-10-30,2024-10-30,1,0.0065503084025595
short_long_eff,01,2024-10-31,2024-10-31,1,-0.0205620475088606
short_long_eff,11,2024-11-01,2024-11-01,1,0.0139528226376211
short_long_eff,10,2024-11-04,2024-11-05,2,0.033465770645959396
short_long_eff,00,2024-11-06,2024-11-06,1,-0.0452710893051467
short_long_eff,10,2024-11-07,2024-11-07,1,0.0101251105137361
short_long_eff,01,2024-11-08,2024-11-08,1,0.0374601988635299
short_long_eff,11,2024-11-11,2024-11-12,2,-0.0455786625406989
short_long_eff,01,2024-11-13,2024-11-13,1,0.0002948837227742
short_long_eff,11,2024-11-14,2024-11-14,1,-0.0033199265991876
short_long_eff,10,2024-11-15,2024-11-15,1,0.0081612881646978
short_long_eff,00,2024-11-18,2024-11-18,1,0.0224981911093999
short_long_eff,10,2024-11-19,2024-11-19,1,-0.0175544980669809
short_long_eff,00,2024-11-20,2024-11-21,2,-0.0217621665806497
short_long_eff,10,2024-11-22,2024-11-22,1,0.0406255816061561
short_long_eff,00,2024-11-25,2024-11-26,2,0.0297626959825387
short_long_eff,10,2024-11-27,2024-11-27,1,0.0441617732860313
short_long_eff,00,2024-11-28,2024-11-28,1,0.0035694452599575
short_long_eff,10,2024-11-29,2024-11-29,1,-0.0044521229252342
short_long_eff,00,2024-12-02,2024-12-05,4,-0.07032526867587639
short_long_eff,10,2024-12-06,2024-12-09,2,0.0241944275583972
short_long_eff,00,2024-12-10,2024-12-12,3,0.025366713908219804
short_long_eff,10,2024-12-13,2024-12-16,2,0.015368985865689699
short_long_eff,00,2024-12-17,2024-12-17,1,-0.0113132282645471
short_long_eff,10,2024-12-18,2024-12-18,1,-0.0113676718807616
