rank,leg,view,days,eff_1d,eff_5d,eff_20d,wick_1d
3,recovery,30m_offset_15,25,0.47574890144709053,0.3173005485293662,0.1065396361079641,0.5043160531588277
3,recovery,5m_offset_0,25,0.20575388164273267,0.12713604873260725,0.040925974044755155,0.47161565898473645
3,recovery,5m_offset_1,25,0.20102570814273296,0.1262555648562604,0.04031137642020297,0.453067760791672
3,recovery,5m_offset_2,25,0.1993527997004946,0.12521631985146153,0.04030313598980057,0.4637587461317449
3,recovery,5m_offset_3,25,0.1937912177327739,0.12268412748498228,0.0404476788732893,0.45274472384366776
3,recovery,5m_offset_4,25,0.19784842843279574,0.12465651646010581,0.041392269368184256,0.46038457102154007
3,recovery,60m_offset_30,25,0.7262580141531254,0.45215300149262766,0.14918191196076783,0.44861329916791365
3,recovery,60m_offset_45,25,0.6751586443351737,0.43697042635927275,0.14822941367951978,0.4730307043827481
3,recovery,daily_noon_close_1130,25,1.0,0.5530443695291405,0.20279760183624818,0.4169509655000425
3,recovery,daily_proxy_close_1400,25,1.0,0.612269634475642,0.22460311308088712,0.4825730927183622
3,recovery,daily_proxy_close_1430,25,1.0,0.6006961532770986,0.21577604758726276,0.5369379795111873
4,decline,15m_offset_10,16,0.259549222798115,0.09371956422167384,0.054158581638776515,0.49436708690400266
4,decline,15m_offset_5,16,0.25297412062949964,0.09258611531629077,0.05516671718344328,0.47823841605514195
4,decline,1m_official,16,0.05870832348871527,0.021416949668019145,0.013211512719938243,0.4009293518051737
4,decline,30m_offset_15,16,0.38977303125808305,0.13811390118418757,0.08509394570322999,0.4812618039834492
4,decline,5m_offset_0,16,0.12262641725961333,0.043130697867003714,0.026534939015849718,0.45372907789006184
4,decline,5m_offset_1,16,0.13786980140604205,0.04765167141293626,0.027107445704487573,0.46958006391060214
4,decline,5m_offset_2,16,0.14003019492849983,0.04754377268950673,0.02738134059707702,0.45916881525845754
4,decline,5m_offset_3,16,0.14221102756182646,0.04841348555679152,0.02822395249029335,0.4695054219886616
4,decline,5m_offset_4,16,0.14148816990689814,0.04777470541808578,0.028540561872725585,0.4794122747851364
4,decline,60m_offset_30,16,0.6492965642138653,0.25517791938983864,0.14008794236481675,0.4908300080262357
4,decline,60m_offset_45,16,0.8327772432085836,0.2590574222863221,0.1390420549108652,0.5959968763132991
4,decline,daily_noon_close_1130,16,1.0,0.3150099740803772,0.1874181059223405,0.6998462639673148
4,decline,daily_proxy_close_1400,16,1.0,0.37593025818143133,0.19303413953628273,0.5801202503602312
4,decline,daily_proxy_close_1430,16,1.0,0.37065061358279017,0.20057744960843094,0.5079312739960242
4,recovery,15m_offset_10,17,0.3261721973469265,0.17030319204519564,0.09485845724327338,0.47550414870820285
4,recovery,15m_offset_5,17,0.3282694031215222,0.16302417252181248,0.08963747456377538,0.4792983705007546
4,recovery,1m_official,17,0.07904791849646559,0.0409747309163346,0.02279714309915064,0.3769005271312595
4,recovery,30m_offset_15,17,0.4667888342878459,0.24209350288122208,0.13666179565997025,0.5092004028599038
4,recovery,5m_offset_0,17,0.17095823610233649,0.08753109173638768,0.04869006927716744,0.4454871174444911
