table,cell,year,vol_tercile,target_days,control_days,pnl_bp_difference,capture_difference
short_long_eff,01,2024,0,13,68,19.740023651805117,0.0323732272180034
short_long_eff,01,2024,1,14,66,-49.697180918701605,-0.06738222659997732
short_long_eff,01,2024,2,27,54,-80.96837090968054,-0.07878755654820926
short_long_eff,01,2025,0,19,55,-58.393320425749806,-0.1340568763916435
short_long_eff,01,2025,1,15,59,-29.65174241493543,-0.02892816438334116
short_long_eff,01,2025,2,26,49,-130.53947557213402,-0.11337479961436539
short_long_eff,10,2021,0,25,56,27.209187869422827,0.05981790199891064
short_long_eff,10,2021,1,20,61,78.67398083328754,0.10963519311941496
short_long_eff,10,2021,2,9,72,95.09935647534799,0.13846877277818428
short_long_eff,10,2022,0,13,68,24.01344981816352,0.0369511435331386
short_long_eff,10,2022,1,13,67,51.589736810957355,0.06166447333391477
short_long_eff,10,2022,2,16,65,-5.605919390997676,-0.013606206004452955
short_long_eff,10,2023,0,27,54,43.03355771483026,0.09756096152529878
short_long_eff,10,2023,1,21,59,71.07685464243447,0.11919963549761094
short_long_eff,10,2023,2,23,58,12.670395781248503,0.022409547935038833
short_long_eff,10,2024,0,25,56,21.652252060956002,0.04343497616978108
short_long_eff,10,2024,1,23,57,75.63827798444052,0.10457741684179891
short_long_eff,10,2024,2,17,64,-16.344046970574386,0.014535298406564034
short_long_eff,10,2025,0,20,54,51.69608305005988,0.136988037137583
short_long_eff,10,2025,1,22,52,51.13269057661029,0.05653051015474137
short_long_eff,10,2025,2,12,63,10.252590430490303,0.022532933816467628
short_long_eff,11,2021,0,20,61,65.43474458839898,0.1180358061455648
short_long_eff,11,2021,1,23,58,26.802769819555305,0.045496026218294086
short_long_eff,11,2021,2,31,50,55.72147645579889,0.08160686606045474
short_long_eff,11,2022,0,33,48,58.79745567389505,0.11023315556175767
short_long_eff,11,2022,1,23,57,84.27356577987527,0.12948602708710089
short_long_eff,11,2022,2,21,60,226.47961899656602,0.22371617354767667
short_long_eff,11,2023,0,17,64,29.10977061875467,0.08092977011608074
short_long_eff,11,2023,1,20,60,72.75528480032814,0.14576983646722555
short_long_eff,11,2023,2,16,65,29.9203616820202,0.030460423105518164
short_long_eff,11,2024,0,23,58,49.55575156325395,0.0985379540555902
short_long_eff,11,2024,1,18,62,32.76215042790168,0.04769684102480673
short_long_eff,11,2024,2,19,62,177.65211576955053,0.09105701577245362
short_long_eff,11,2025,0,12,62,21.997625644984755,0.03470146558697654
short_long_eff,11,2025,1,15,59,34.12185118666286,0.049316504344201414
short_long_eff,11,2025,2,19,56,163.5655706939678,0.11329033633535646
