view,year,feature,outcome,rho,n_days
5m_offset_1,2022,rv_20d,capture,0.02579506452258873,242
5m_offset_1,2022,rv_ratio_1_20,pnl_log,0.1420521489677783,242
5m_offset_1,2022,rv_ratio_1_20,capture,0.1289406068734624,242
5m_offset_1,2022,drift_disagree_1_20,pnl_log,-0.04830353317721397,242
5m_offset_1,2022,drift_disagree_1_20,capture,-0.056123532321719335,242
5m_offset_1,2022,acf1_5d,pnl_log,-0.011725029328449422,242
5m_offset_1,2022,acf1_5d,capture,-0.01734728567370338,242
5m_offset_1,2022,acf3_5d,pnl_log,0.18190581789223811,242
5m_offset_1,2022,acf3_5d,capture,0.16807879287446748,242
5m_offset_1,2022,acf12_5d,pnl_log,0.00894777016995048,242
5m_offset_1,2022,acf12_5d,capture,0.0023280713586258665,242
5m_offset_1,2022,fast_share_1d,pnl_log,-0.2641084553570408,242
5m_offset_1,2022,fast_share_1d,capture,-0.25004688741643355,242
5m_offset_1,2022,fast_share_5d,pnl_log,-0.13581347656539408,242
5m_offset_1,2022,fast_share_5d,capture,-0.1250592178543895,242
5m_offset_1,2022,fast_share_20d,pnl_log,-0.019362492014321515,242
5m_offset_1,2022,fast_share_20d,capture,-0.0193506378593767,242
5m_offset_1,2022,work_turns_5d,pnl_log,-0.0790485411045,242
5m_offset_1,2022,work_turns_5d,capture,-0.07844505233357198,242
5m_offset_1,2022,slow_work_velocity_5d,pnl_log,0.21223552004389426,242
5m_offset_1,2022,slow_work_velocity_5d,capture,0.20354388429328704,242
5m_offset_1,2022,slow_work_opposition_5d,pnl_log,-0.01646563653609704,242
5m_offset_1,2022,slow_work_opposition_5d,capture,0.00197157230727065,242
5m_offset_1,2022,wick_1d,pnl_log,-0.027828052095624084,242
5m_offset_1,2022,wick_1d,capture,-0.021342982615458413,242
5m_offset_1,2022,gap_share_1d,pnl_log,-0.012564980878824713,242
5m_offset_1,2022,gap_share_1d,capture,-0.022289621560337015,242
5m_offset_1,2022,threshold_work_amplitude_5d,pnl_log,-0.2391698535292148,242
5m_offset_1,2022,threshold_work_amplitude_5d,capture,-0.22153341114739333,242
5m_offset_1,2023,eff_1d,pnl_log,0.3904043155897802,242
5m_offset_1,2023,eff_1d,capture,0.4017080990550122,242
5m_offset_1,2023,eff_5d,pnl_log,0.07591019800249023,242
5m_offset_1,2023,eff_5d,capture,0.10216715120525005,242
5m_offset_1,2023,eff_20d,pnl_log,0.042810857220513955,242
5m_offset_1,2023,eff_20d,capture,0.04685312405669504,242
5m_offset_1,2023,rv_1d,pnl_log,0.08255699202511727,242
5m_offset_1,2023,rv_1d,capture,0.07806680747709291,242
5m_offset_1,2023,rv_5d,pnl_log,0.046988600113207185,242
5m_offset_1,2023,rv_5d,capture,0.05104949490715868,242
5m_offset_1,2023,rv_20d,pnl_log,-0.06150485956848336,242
5m_offset_1,2023,rv_20d,capture,-0.05828222287420075,242
5m_offset_1,2023,rv_ratio_1_20,pnl_log,0.11088334199110009,242
5m_offset_1,2023,rv_ratio_1_20,capture,0.10831014364272257,242
5m_offset_1,2023,drift_disagree_1_20,pnl_log,-0.0951684807633531,242
5m_offset_1,2023,drift_disagree_1_20,capture,-0.08775120130725268,242
5m_offset_1,2023,acf1_5d,pnl_log,-0.021296412721032363,242
5m_offset_1,2023,acf1_5d,capture,-0.018475123844166975,242
5m_offset_1,2023,acf3_5d,pnl_log,-0.014555632184200022,242
5m_offset_1,2023,acf3_5d,capture,-0.01796031482942083,242
5m_offset_1,2023,acf12_5d,pnl_log,0.00038314322232340596,242
5m_offset_1,2023,acf12_5d,capture,0.018221952963559905,242
5m_offset_1,2023,fast_share_1d,pnl_log,-0.2756061389281558,242
5m_offset_1,2023,fast_share_1d,capture,-0.28751194411951364,242
5m_offset_1,2023,fast_share_5d,pnl_log,-0.039329969293505074,242
5m_offset_1,2023,fast_share_5d,capture,-0.04819010338939926,242
5m_offset_1,2023,fast_share_20d,pnl_log,-0.02367317078746728,242
5m_offset_1,2023,fast_share_20d,capture,-0.034989655132997274,242
5m_offset_1,2023,work_turns_5d,pnl_log,0.038475616847516006,242
5m_offset_1,2023,work_turns_5d,capture,0.017683960143326776,242
5m_offset_1,2023,slow_work_velocity_5d,pnl_log,0.1563762017678779,242
5m_offset_1,2023,slow_work_velocity_5d,capture,0.1794249126073595,242
5m_offset_1,2023,slow_work_opposition_5d,pnl_log,0.07301034642601122,242
5m_offset_1,2023,slow_work_opposition_5d,capture,0.07677130319652012,242
5m_offset_1,2023,wick_1d,pnl_log,0.06951318795905745,242
5m_offset_1,2023,wick_1d,capture,0.06729222735761149,242
5m_offset_1,2023,gap_share_1d,pnl_log,0.15160659785329725,242
5m_offset_1,2023,gap_share_1d,capture,0.14739244577041635,242
5m_offset_1,2023,threshold_work_amplitude_5d,pnl_log,-0.080988009945636,242
5m_offset_1,2023,threshold_work_amplitude_5d,capture,-0.09160509914942205,242
